,id,model,participant,prompt,target,predicted,src,total_tokens,nexamples,ncompletions
0,bs12_brick-612f,gpt-4,bs1285,brick,2.2,2.0,bs12,27.7,5,10
1,betal18_rope-dee3,gpt-4,betal182047,rope,1.4,3.5,betal18,23.3,5,10
2,snb17_box-2315,gpt-4,snb1743,box,2.0,2.5,snb17,26.0,5,10
3,snb17_rope-0479,gpt-4,snb1771,rope,1.7000000000000002,3.5,snb17,25.3,5,10
4,snb17_rope-2107,gpt-4,snb17102,rope,1.1,1.1,snb17,23.3,5,10
5,setal08_knife-8c51,gpt-4,setal08117,knife,4.0,3.0,setal08,26.8,5,10
6,motesf_bottle-19c4,gpt-4,motesf0402,bottle,2.7,2.2,motesf,26.1,5,10
7,betal18_box-da2b,gpt-4,betal182125,box,4.1,3.5,betal18,28.3,5,10
8,dod20_table-5f03,gpt-4,dod2013,table,1.5,2.3,dod20,23.3,5,10
9,hmsl_brick-e2f5,gpt-4,hmsl9qInF3rw,brick,2.0,1.9,hmsl,25.6,5,10
10,setal08_brick-d9c7,gpt-4,setal0833,brick,1.4,2.8,setal08,24.1,5,10
11,dod20_shovel-7964,gpt-4,dod2055,shovel,2.7,3.2,dod20,21.6,5,10
12,dod20_fork-b650,gpt-4,dod2090,fork,1.7000000000000002,1.5,dod20,26.9,5,10
13,setal08_knife-328c,gpt-4,setal0887,knife,1.2,1.1,setal08,25.0,5,10
14,dod20_shovel-7e69,gpt-4,dod2065,shovel,3.3,4.5,dod20,22.3,5,10
15,dod20_rope-93d4,gpt-4,dod2054,rope,2.3,1.2,dod20,24.8,5,10
16,dod20_fork-d702,gpt-4,dod206,fork,2.5,2.5,dod20,22.7,5,10
17,dod20_book-0328,gpt-4,dod2043,book,2.8,3.0,dod20,21.3,5,10
18,dod20_book-96e1,gpt-4,dod2038,book,1.3,1.8,dod20,21.3,5,10
19,snbmo09_knife-43e7,gpt-4,snbmo09156,knife,2.8,4.0,snbmo09,24.6,5,10
20,motesp-g1_pencil-34HA,gpt-4,34HA,pencil,3.0,4.0,motesp,29.8,5,10
21,hmsl_paperclip-ab27,gpt-4,hmsl59auf5Di,paperclip,2.2,2.3,hmsl,25.2,5,10
22,hmsl_paperclip-d896,gpt-4,hmslFdOMf9nm,paperclip,4.0,,hmsl,,5,10
23,dod20_rope-6d13,gpt-4,dod2057,rope,3.5,2.5,dod20,23.6,5,10
24,snbmo09_knife-defc,gpt-4,snbmo09192,knife,1.3,1.5,snbmo09,23.3,5,10
25,setal08_knife-049f,gpt-4,setal0822,knife,2.0,2.8,setal08,26.8,5,10
26,betal18_rope-4f13,gpt-4,betal182146,rope,1.9,2.5,betal18,25.1,5,10
27,hmsl_brick-6ed8,gpt-4,hmslunRY054i,brick,1.8,1.6,hmsl,27.0,5,10
28,dod20_shovel-996a,gpt-4,dod2033,shovel,3.0,3.5,dod20,21.3,5,10
29,setal08_knife-2960,gpt-4,setal0871,knife,1.7000000000000002,1.9,setal08,24.6,5,10
30,motesf_spoon-7393,gpt-4,motesf7a61,spoon,4.1,4.2,motesf,25.8,5,10
31,setal08_brick-dfd2,gpt-4,setal08240,brick,1.0,1.8,setal08,27.3,5,10
32,snbmo09_brick-7bc0,gpt-4,snbmo0991,brick,1.7000000000000002,2.3,snbmo09,26.0,5,10
33,hmsl_brick-0c9b,gpt-4,hmslFVKi04e2,brick,1.0,1.1,hmsl,27.1,5,10
34,snbmo09_box-b38d,gpt-4,snbmo0976,box,2.0,4.0,snbmo09,22.7,5,10
35,snb17_box-d6bb,gpt-4,snb1794,box,1.7000000000000002,4.0,snb17,24.4,5,10
36,hmsl_brick-5e3b,gpt-4,hmslo7l657o7,brick,1.1,1.0,hmsl,25.4,5,10
37,bs12_brick-49e4,gpt-4,bs12108,brick,1.4,2.5,bs12,26.5,5,10
38,bs12_brick-6ad5,gpt-4,bs1235,brick,1.8,1.8,bs12,25.1,5,10
39,motesf_hat-7b92,gpt-4,motesf38db,hat,3.3,3.1,motesf,31.4,5,10
40,snb17_box-df97,gpt-4,snb17141,box,1.7000000000000002,1.5,snb17,23.0,5,10
41,hmsl_brick-d408,gpt-4,hmsll6N0vKle,brick,1.8,1.5,hmsl,27.3,5,10
42,motesf_pencil-fd3d,gpt-4,motesfa4a0,pencil,2.1,1.8,motesf,24.6,5,10
43,setal08_knife-e663,gpt-4,setal0813,knife,1.7000000000000002,1.6,setal08,25.4,5,10
44,dod20_brick-695c,gpt-4,dod205,brick,3.0,1.8,dod20,24.3,5,10
45,snbmo09_box-36e3,gpt-4,snbmo099,box,1.5,2.3,snbmo09,27.1,5,10
46,hmsl_paperclip-56bf,gpt-4,hmslGBLQ0YK2,paperclip,2.8,3.4,hmsl,26.6,5,10
47,motesf_ball-6c41,gpt-4,motesf0bb4,ball,3.9,3.5,motesf,31.0,5,10
48,dod20_pants-b1d8,gpt-4,dod2058,pants,4.0,3.5,dod20,22.5,5,10
49,snb17_box-bea8,gpt-4,snb1747,box,1.7000000000000002,2.5,snb17,23.4,5,10
50,betal18_rope-1f3c,gpt-4,betal182107,rope,1.9,2.1,betal18,30.3,5,10
51,snbmo09_box-da6f,gpt-4,snbmo09103,box,1.8,2.0,snbmo09,23.8,5,10
52,dod20_bottle-bec5,gpt-4,dod2014,bottle,3.8,3.4,dod20,23.7,5,10
53,snbmo09_knife-6b8e,gpt-4,snbmo09191,knife,1.6,2.5,snbmo09,25.1,5,10
54,snbmo09_box-35c1,gpt-4,snbmo094,box,2.7,3.0,snbmo09,24.4,5,10
55,snb17_box-45d5,gpt-4,snb1717,box,2.7,2.5,snb17,22.8,5,10
56,hmsl_paperclip-fcb5,gpt-4,hmslS3kVSz67,paperclip,1.0,1.0,hmsl,23.8,5,10
57,setal08_brick-8145,gpt-4,setal08223,brick,2.3,3.5,setal08,24.7,5,10
58,setal08_knife-ad64,gpt-4,setal0857,knife,3.7,4.0,setal08,26.8,5,10
59,betal18_box-25d4,gpt-4,betal182166,box,1.6,2.0,betal18,24.0,5,10
60,snbmo09_brick-91bb,gpt-4,snbmo09156,brick,2.5,1.9,snbmo09,26.4,5,10
