,id,model,participant,prompt,target,predicted,src,total_tokens,nexamples,ncompletions
0,motesf_ball-62be,gpt3-davinci,motesfbcbe,ball,3.9,3.3,motesf,35.3,5,10
1,hmsl_brick-e34c,gpt3-davinci,hmslzvXd0H7K,brick,1.7000000000000002,1.0,hmsl,26.4,5,10
2,snbmo09_2_knife-834c,gpt3-davinci,snbmo09118,knife,2.0,3.8,snbmo09,26.9,5,10
3,betal18_box-20b9,gpt3-davinci,betal182044,box,3.0,2.0,betal18,21.0,5,10
4,motesf_spoon-6689,gpt3-davinci,motesfedde,spoon,3.0,1.0,motesf,28.7,5,10
5,motesf_lightbulb-2dc4,gpt3-davinci,motesfa8c8,lightbulb,3.9,4.9,motesf,32.8,5,10
6,bs12_brick-607b,gpt3-davinci,bs1242,brick,1.4,1.2,bs12,25.7,5,10
7,snb17_rope-1181,gpt3-davinci,snb1798,rope,1.3,3.3,snb17,21.3,5,10
8,dod20_shovel-9ba0,gpt3-davinci,dod2047,shovel,2.0,2.0,dod20,19.9,5,10
9,hmsl_brick-60c4,gpt3-davinci,hmslz793il3x,brick,1.8,2.1,hmsl,24.8,5,10
10,motesf_pencil-75b2,gpt3-davinci,motesf6855,pencil,3.0,3.6,motesf,26.7,5,10
11,betal18_rope-f572,gpt3-davinci,betal182072,rope,2.4,2.1,betal18,20.1,5,10
12,snb17_box-d576,gpt3-davinci,snb1753,box,2.3,5.0,snb17,24.0,5,10
13,hmsl_paperclip-e599,gpt3-davinci,hmslX5hX4YgF,paperclip,1.0,1.1,hmsl,24.1,5,10
14,hmsl_brick-0235,gpt3-davinci,hmsl0x135kJT,brick,1.7000000000000002,1.9,hmsl,22.8,5,10
15,snbmo09_3_box-3d51,gpt3-davinci,snbmo09107,box,1.8,1.2,snbmo09,21.3,5,10
16,betal18_box-eaa5,gpt3-davinci,betal182158,box,1.3,1.0,betal18,21.5,5,10
17,setal08_1.0-7d76,gpt3-davinci,setal08111,brick,2.0,2.0,setal08,26.2,5,10
18,setal08_4.0-903b,gpt3-davinci,setal0887,knife,2.0,1.2,setal08,23.5,5,10
19,setal08_1.0-135b,gpt3-davinci,setal08153,brick,2.3,2.0,setal08,24.0,5,10
20,snbmo09_3_box-c3ad,gpt3-davinci,snbmo09108,box,1.5,1.9,snbmo09,23.5,5,10
21,motesf_hat-39f8,gpt3-davinci,motesf6faa,hat,4.4,1.0,motesf,31.5,5,10
22,snb17_rope-1a01,gpt3-davinci,snb1725,rope,2.3,2.2,snb17,20.5,5,10
23,dod20_table-3a26,gpt3-davinci,dod2016,table,4.0,2.5,dod20,21.2,5,10
24,dod20_tire-8792,gpt3-davinci,dod2013,tire,1.2,1.0,dod20,23.7,5,10
25,dod20_book-2849,gpt3-davinci,dod2055,book,2.5,1.8,dod20,19.4,5,10
26,hmsl_brick-f6b3,gpt3-davinci,hmsleKeAvV0P,brick,1.2,3.0,hmsl,22.4,5,10
27,motesf_pencil-1274,gpt3-davinci,motesf43ec,pencil,4.1,4.0,motesf,27.1,5,10
28,dod20_book-96e1,gpt3-davinci,dod2038,book,1.2,1.0,dod20,20.8,5,10
29,dod20_table-3ccd,gpt3-davinci,dod2037,table,2.0,1.5,dod20,19.4,5,10
30,setal08_4.0-ec93,gpt3-davinci,setal08205,knife,1.7000000000000002,1.8,setal08,25.8,5,10
31,hmsl_paperclip-89c3,gpt3-davinci,hmslH6CjN8B9,paperclip,3.3,4.5,hmsl,24.3,5,10
32,setal08_1.0-fd83,gpt3-davinci,setal08174,brick,1.7000000000000002,1.6,setal08,23.6,5,10
33,setal08_4.0-acde,gpt3-davinci,setal08116,knife,2.3,2.0,setal08,22.6,5,10
34,bs12_brick-a82d,gpt3-davinci,bs1238,brick,1.8,4.0,bs12,25.4,5,10
35,bs12_brick-a1de,gpt3-davinci,bs1259,brick,1.4,1.6,bs12,23.5,5,10
36,setal08_1.0-acff,gpt3-davinci,setal08149,brick,2.7,5.0,setal08,24.7,5,10
37,snbmo09_1_brick-f77c,gpt3-davinci,snbmo09163,brick,3.5,2.0,snbmo09,24.3,5,10
38,snb17_rope-ecfb,gpt3-davinci,snb1745,rope,2.7,1.2,snb17,20.6,5,10
39,dod20_bottle-7bd1,gpt3-davinci,dod2082,bottle,1.8,1.0,dod20,28.6,5,10
40,motesp_g1_shoe-3601,gpt3-davinci,motesp20HL,shoe,3.7,4.5,motesp,20.0,5,10
41,dod20_brick-4a89,gpt3-davinci,dod2037,brick,1.8,1.0,dod20,24.9,5,10
42,hmsl_paperclip-862c,gpt3-davinci,hmsl5GS33saU,paperclip,2.5,4.0,hmsl,23.1,5,10
43,hmsl_paperclip-60e3,gpt3-davinci,hmslb3AN0bjD,paperclip,1.0,,hmsl,,5,10
44,setal08_4.0-af33,gpt3-davinci,setal08144,knife,2.0,1.5,setal08,26.3,5,10
45,hmsl_brick-6417,gpt3-davinci,hmsl3dysp210,brick,1.7000000000000002,1.4,hmsl,23.9,5,10
46,dod20_shoe-0624,gpt3-davinci,dod2041,shoe,3.5,1.7,dod20,18.6,5,10
47,dod20_fork-1fa0,gpt3-davinci,dod2039,fork,1.5,1.2,dod20,23.3,5,10
48,hmsl_paperclip-1de4,gpt3-davinci,hmsl5fii6yAD,paperclip,2.2,3.0,hmsl,26.0,5,10
49,setal08_1.0-49d8,gpt3-davinci,setal08109,brick,1.8,1.8,setal08,23.6,5,10
50,motesf_hat-4bfc,gpt3-davinci,motesf950a,hat,2.7,2.7,motesf,32.4,5,10
51,setal08_1.0-af02,gpt3-davinci,setal0897,brick,1.7000000000000002,2.0,setal08,24.6,5,10
52,hmsl_brick-1465,gpt3-davinci,hmslMr20YMh5,brick,2.8,2.2,hmsl,24.4,5,10
53,hmsl_paperclip-56b4,gpt3-davinci,hmslUBn73eP3,paperclip,2.0,4.0,hmsl,23.5,5,10
54,hmsl_brick-7bf6,gpt3-davinci,hmsl1y5hCDj2,brick,3.5,2.0,hmsl,24.2,5,10
55,snb17_box-855d,gpt3-davinci,snb17111,box,2.3,1.0,snb17,22.1,5,10
56,setal08_1.0-16af,gpt3-davinci,setal0899,brick,1.2,1.2,setal08,22.8,5,10
57,setal08_1.0-4b13,gpt3-davinci,setal08130,brick,2.3,1.0,setal08,24.8,5,10
58,hmsl_brick-3b90,gpt3-davinci,hmsl9wW6AB6o,brick,2.2,1.8,hmsl,22.8,5,10
59,setal08_4.0-58cf,gpt3-davinci,setal0852,knife,2.3,1.6,setal08,25.3,5,10
60,snb17_box-299e,gpt3-davinci,snb17141,box,1.3,1.3,snb17,21.6,5,10
61,snb17_box-dc4d,gpt3-davinci,snb1745,box,3.7,3.3,snb17,21.7,5,10
62,motesp_g1_pencil-cdcd,gpt3-davinci,motesp31MB,pencil,4.3,,motesp,,5,10
63,setal08_4.0-2e87,gpt3-davinci,setal08174,knife,1.3,2.1,setal08,22.9,5,10
64,dod20_rope-93d4,gpt3-davinci,dod2054,rope,2.2,2.4,dod20,20.2,5,10
65,betal18_rope-f6cd,gpt3-davinci,betal182128,rope,1.3,1.6,betal18,22.2,5,10
66,snbmo09_2_knife-5e62,gpt3-davinci,snbmo0935,knife,2.5,1.0,snbmo09,24.8,5,10
67,snb17_rope-e433,gpt3-davinci,snb1732,rope,1.3,5.0,snb17,19.9,5,10
68,dod20_pants-dd2d,gpt3-davinci,dod2057,pants,3.8,4.0,dod20,21.1,5,10
69,setal08_4.0-4ade,gpt3-davinci,setal0877,knife,2.3,2.5,setal08,24.3,5,10
70,dod20_rope-b94c,gpt3-davinci,dod204,rope,3.5,3.3,dod20,21.4,5,10
71,bs12_brick-581d,gpt3-davinci,bs12127,brick,1.4,1.9,bs12,22.7,5,10
72,bs12_brick-af7b,gpt3-davinci,bs1213,brick,1.5,2.4,bs12,24.5,5,10
73,snbmo09_2_knife-0856,gpt3-davinci,snbmo0922,knife,1.5,1.0,snbmo09,23.5,5,10
74,betal18_rope-48e9,gpt3-davinci,betal182100,rope,2.4,1.5,betal18,23.6,5,10
75,motesf_toothbrush-a047,gpt3-davinci,motesf839a,toothbrush,3.0,2.0,motesf,28.7,5,10
76,betal18_rope-f10f,gpt3-davinci,betal182033,rope,1.9,1.2,betal18,21.2,5,10
77,dod20_shovel-757d,gpt3-davinci,dod2048,shovel,3.0,1.4,dod20,20.3,5,10
78,hmsl_paperclip-6701,gpt3-davinci,hmslEqZE362k,paperclip,2.8,4.0,hmsl,24.9,5,10
79,dod20_pants-e056,gpt3-davinci,dod2017,pants,2.3,4.0,dod20,20.9,5,10
80,motesf_bottle-00f7,gpt3-davinci,motesfdb8e,bottle,3.0,4.5,motesf,24.2,5,10
81,motesf_lightbulb-414e,gpt3-davinci,motesf67c6,lightbulb,3.9,5.0,motesf,27.6,5,10
82,motesf_bottle-a96f,gpt3-davinci,motesf0138,bottle,3.9,4.6,motesf,26.6,5,10
83,hmsl_brick-2e0d,gpt3-davinci,hmsl16scmgQe,brick,1.3,1.1,hmsl,22.7,5,10
84,setal08_4.0-f076,gpt3-davinci,setal08239,knife,1.0,1.1,setal08,23.6,5,10
85,hmsl_brick-ac70,gpt3-davinci,hmslPo54U0sz,brick,2.5,2.0,hmsl,27.2,5,10
86,snbmo09_1_brick-ddc9,gpt3-davinci,snbmo0952,brick,1.0,1.4,snbmo09,22.8,5,10
87,hmsl_brick-6540,gpt3-davinci,hmslaKRPi4oZ,brick,1.2,1.0,hmsl,23.7,5,10
88,snbmo09_1_brick-897b,gpt3-davinci,snbmo0928,brick,1.3,1.0,snbmo09,25.8,5,10
89,snbmo09_3_box-407b,gpt3-davinci,snbmo0969,box,2.3,5.0,snbmo09,22.9,5,10
90,hmsl_brick-d91c,gpt3-davinci,hmsl4IpDwdI5,brick,1.2,1.8,hmsl,23.5,5,10
91,hmsl_paperclip-af37,gpt3-davinci,hmsl1zNzBi5Y,paperclip,3.0,3.3,hmsl,24.9,5,10
92,bs12_brick-8cf0,gpt3-davinci,bs1239,brick,1.8,1.8,bs12,23.9,5,10
93,snb17_box-9f1b,gpt3-davinci,snb1753,box,1.7000000000000002,1.0,snb17,22.3,5,10
94,bs12_brick-287d,gpt3-davinci,bs1223,brick,2.2,1.0,bs12,25.0,5,10
95,snb17_box-ffeb,gpt3-davinci,snb1722,box,2.0,1.1,snb17,24.3,5,10
96,motesf_toothbrush-7efd,gpt3-davinci,motesf2a38,toothbrush,2.4,3.6,motesf,30.3,5,10
97,snb17_rope-620c,gpt3-davinci,snb1722,rope,1.7000000000000002,5.0,snb17,22.3,5,10
98,hmsl_paperclip-1b82,gpt3-davinci,hmslww8QYGoO,paperclip,2.2,2.4,hmsl,25.2,5,10
99,snb17_rope-947e,gpt3-davinci,snb1731,rope,1.8,2.0,snb17,20.2,5,10
100,dod20_book-5c75,gpt3-davinci,dod2073,book,3.2,3.0,dod20,19.8,5,10
101,betal18_rope-8f13,gpt3-davinci,betal182136,rope,1.3,1.2,betal18,20.7,5,10
102,setal08_1.0-d398,gpt3-davinci,setal08129,brick,2.0,3.2,setal08,23.1,5,10
103,setal08_4.0-1a04,gpt3-davinci,setal08154,knife,2.0,1.2,setal08,23.7,5,10
104,hmsl_brick-2692,gpt3-davinci,hmslmqMj47H6,brick,4.2,3.0,hmsl,26.5,5,10
105,snb17_box-02f2,gpt3-davinci,snb17106,box,3.7,1.3,snb17,23.0,5,10
106,dod20_book-6baf,gpt3-davinci,dod2074,book,3.8,4.0,dod20,21.2,5,10
107,snbmo09_3_box-ff22,gpt3-davinci,snbmo0929,box,2.5,1.0,snbmo09,22.4,5,10
108,motesp_g1_backpack-652c,gpt3-davinci,motesp8OO,backpack,2.3,2.4,motesp,34.3,5,10
109,snbmo09_3_box-7f69,gpt3-davinci,snbmo0961,box,1.5,1.1,snbmo09,24.1,5,10
110,hmsl_brick-d3d4,gpt3-davinci,hmslb180td4X,brick,1.5,1.1,hmsl,26.3,5,10
111,betal18_box-3073,gpt3-davinci,betal182064,box,1.6,1.0,betal18,21.5,5,10
112,snbmo09_3_box-8248,gpt3-davinci,snbmo09140,box,1.7000000000000002,1.1,snbmo09,21.0,5,10
113,dod20_fork-f403,gpt3-davinci,dod2052,fork,2.2,3.0,dod20,23.3,5,10
114,betal18_box-0210,gpt3-davinci,betal182054,box,1.0,1.1,betal18,21.2,5,10
115,dod20_shovel-ec88,gpt3-davinci,dod2015,shovel,1.8,1.5,dod20,19.8,5,10
116,dod20_pants-4671,gpt3-davinci,dod2081,pants,2.5,4.1,dod20,20.5,5,10
117,bs12_brick-9a7a,gpt3-davinci,bs1255,brick,1.8,1.2,bs12,24.9,5,10
118,setal08_1.0-4ad7,gpt3-davinci,setal08202,brick,1.6,1.1,setal08,23.8,5,10
119,snb17_rope-e9e9,gpt3-davinci,snb17111,rope,2.0,3.5,snb17,20.7,5,10
120,betal18_box-3740,gpt3-davinci,betal182123,box,1.3,1.1,betal18,21.2,5,10
121,snbmo09_3_box-316b,gpt3-davinci,snbmo0998,box,2.3,1.1,snbmo09,21.6,5,10
122,dod20_bottle-006a,gpt3-davinci,dod2081,bottle,2.7,2.3,dod20,26.9,5,10
123,hmsl_paperclip-5497,gpt3-davinci,hmsl5CH3FMbC,paperclip,2.5,3.5,hmsl,26.1,5,10
124,snbmo09_3_box-4511,gpt3-davinci,snbmo0958,box,3.7,5.0,snbmo09,20.6,5,10
125,setal08_4.0-1958,gpt3-davinci,setal08230,knife,2.0,1.5,setal08,22.3,5,10
126,snbmo09_1_brick-57dc,gpt3-davinci,snbmo09167,brick,1.7000000000000002,3.0,snbmo09,24.7,5,10
127,motesf_hat-383f,gpt3-davinci,motesfffd5,hat,3.0,3.6,motesf,26.1,5,10
128,dod20_pants-7552,gpt3-davinci,dod2038,pants,2.2,1.7,dod20,21.2,5,10
129,dod20_book-5b51,gpt3-davinci,dod2013,book,3.0,1.0,dod20,20.2,5,10
130,snb17_rope-c405,gpt3-davinci,snb1761,rope,2.0,1.2,snb17,22.6,5,10
131,hmsl_paperclip-7143,gpt3-davinci,hmslEqZE362k,paperclip,4.0,3.2,hmsl,23.2,5,10
132,hmsl_brick-4878,gpt3-davinci,hmslLPQ9qCo5,brick,3.0,1.0,hmsl,26.1,5,10
133,bs12_brick-a5fd,gpt3-davinci,bs1256,brick,1.4,1.9,bs12,27.8,5,10
134,setal08_4.0-f86c,gpt3-davinci,setal0887,knife,1.7000000000000002,1.2,setal08,22.4,5,10
135,motesf_pencil-fbf5,gpt3-davinci,motesf2b24,pencil,3.0,2.8,motesf,27.6,5,10
136,motesf_lightbulb-78df,gpt3-davinci,motesf735b,lightbulb,3.3,2.8,motesf,32.2,5,10
137,snbmo09_1_brick-41bf,gpt3-davinci,snbmo091,brick,1.3,1.9,snbmo09,23.1,5,10
138,hmsl_paperclip-9f26,gpt3-davinci,hmslC0fi1Rtn,paperclip,3.0,,hmsl,,5,10
139,hmsl_paperclip-8c04,gpt3-davinci,hmslj2pr9SC4,paperclip,3.0,3.0,hmsl,24.6,5,10
140,dod20_pants-9941,gpt3-davinci,dod2013,pants,1.5,2.7,dod20,21.7,5,10
141,dod20_table-154b,gpt3-davinci,dod2040,table,3.8,2.5,dod20,22.2,5,10
142,dod20_shovel-59cb,gpt3-davinci,dod2044,shovel,3.5,1.7,dod20,19.4,5,10
143,bs12_brick-cf77,gpt3-davinci,bs1283,brick,1.4,1.2,bs12,25.5,5,10
144,motesf_spoon-0295,gpt3-davinci,motesf6ea9,spoon,2.4,2.7,motesf,26.6,5,10
145,hmsl_brick-3d75,gpt3-davinci,hmslPh94atfW,brick,1.0,1.0,hmsl,26.7,5,10
146,motesf_hat-93b5,gpt3-davinci,motesf48ae,hat,2.4,1.9,motesf,27.9,5,10
147,snb17_rope-07ae,gpt3-davinci,snb17106,rope,2.0,2.2,snb17,21.3,5,10
148,motesf_spoon-dccc,gpt3-davinci,motesfd296,spoon,3.0,3.6,motesf,27.3,5,10
149,snb17_box-2900,gpt3-davinci,snb17131,box,1.0,1.0,snb17,24.3,5,10
150,setal08_1.0-f672,gpt3-davinci,setal08240,brick,2.0,2.5,setal08,24.5,5,10
151,motesf_bottle-febf,gpt3-davinci,motesf6da9,bottle,3.0,4.0,motesf,26.7,5,10
152,setal08_1.0-fca6,gpt3-davinci,setal0889,brick,3.3,4.0,setal08,23.4,5,10
153,snbmo09_2_knife-576c,gpt3-davinci,snbmo09122,knife,2.8,2.1,snbmo09,25.1,5,10
154,hmsl_paperclip-57f5,gpt3-davinci,hmslLcB8W68g,paperclip,1.3,1.3,hmsl,23.2,5,10
155,setal08_1.0-621f,gpt3-davinci,setal0832,brick,2.3,1.2,setal08,26.0,5,10
156,setal08_1.0-3876,gpt3-davinci,setal0830,brick,1.0,2.2,setal08,21.7,5,10
157,motesf_toothbrush-eee3,gpt3-davinci,motesf2665,toothbrush,1.3,1.1,motesf,25.1,5,10
158,bs12_brick-0195,gpt3-davinci,bs1282,brick,1.0,1.0,bs12,23.2,5,10
159,bs12_brick-7106,gpt3-davinci,bs1245,brick,1.0,2.1,bs12,28.1,5,10
160,hmsl_paperclip-2a62,gpt3-davinci,hmslKxZ68Dlf,paperclip,2.5,2.2,hmsl,23.6,5,10
161,dod20_book-46c5,gpt3-davinci,dod2027,book,1.3,1.0,dod20,20.2,5,10
162,hmsl_paperclip-13bc,gpt3-davinci,hmslY14N0CIL,paperclip,3.0,2.7,hmsl,23.3,5,10
163,bs12_brick-01b4,gpt3-davinci,bs1285,brick,1.4,3.0,bs12,24.6,5,10
164,hmsl_paperclip-1213,gpt3-davinci,hmslB58NwC54,paperclip,2.3,2.4,hmsl,22.9,5,10
165,hmsl_brick-a08d,gpt3-davinci,hmsl5T96gwt6,brick,1.8,1.6,hmsl,24.4,5,10
