,id,model,participant,prompt,target,predicted,src,split,question,response,response_num
0,motesf_bottle-a42f,SemDis_MEAN,motesf74db,bottle,3.6,1.04406,motesf,gt_byprompt,What is a surprising use for a BOTTLE?,for you to make pants out of it.,7
1,hmsl_paperclip-2c1e,SemDis_MEAN,hmsl3drmN5S2,paperclip,2.5,1.06426,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,make a tooth pick out of it,6.0
2,hmsl_paperclip-ab26,SemDis_MEAN,hmsl5Tsk755o,paperclip,2.2,1.05464,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,Hairpin when no bobby pins are available,3.0
3,motesf_spoon-99ed,SemDis_MEAN,motesfd9d4,spoon,3.0,0.98657,motesf,gt_byprompt,What is a surprising use for a SPOON?,Glue two spoons together at an angle to make it tongs.,4
4,dod20_shovel-8ffb,SemDis_MEAN,dod2085,shovel,2.3,1.08339,dod20,gt_byprompt,What is a surprising use for a SHOVEL?,brace something,8
5,dod20_bottle-a3e6,SemDis_MEAN,dod2036,bottle,3.2,0.97687,dod20,gt_byprompt,What is a surprising use for a BOTTLE?,potting plants,0
6,motesf_bottle-c12c,SemDis_MEAN,motesf38af,bottle,3.3,0.97316,motesf,gt_byprompt,What is a surprising use for a BOTTLE?,"a robot, a fidget spinner and that's it",6
7,motesf_spoon-210b,SemDis_MEAN,motesf274a,spoon,3.6,1.01358,motesf,gt_byprompt,What is a surprising use for a SPOON?,make a house with it,7
8,dod20_pants-66c2,SemDis_MEAN,dod2090,pants,1.5,1.03587,dod20,gt_byprompt,What is a surprising use for PANTS?,holding phone,6
9,hmsl_paperclip-4eed,SemDis_MEAN,hmslKf5hYM86,paperclip,2.0,0.87212,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,Picture Holder,6.0
10,motesf_spoon-6453,SemDis_MEAN,motesf67c6,spoon,2.4,0.9397,motesf,gt_byprompt,What is a surprising use for a SPOON?,Use it to dig through the ground.,1
11,motesf_spoon-3dc2,SemDis_MEAN,motesfe369,spoon,2.7,0.98704,motesf,gt_byprompt,What is a surprising use for a SPOON?,to make a ton,3
12,hmsl_paperclip-2611,SemDis_MEAN,hmslY2cD7y3X,paperclip,3.0,1.04524,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,flick it into something as a game,5.0
13,hmsl_paperclip-9b33,SemDis_MEAN,hmslmmD57gcr,paperclip,2.0,1.08955,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,put cloth together ,4.0
14,hmsl_paperclip-d2f2,SemDis_MEAN,hmsldENdB2Qt,paperclip,2.5,1.01778,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,pick fingernails,12.0
15,dod20_pants-c27f,SemDis_MEAN,dod2011,pants,1.0,0.52057,dod20,gt_byprompt,What is a surprising use for PANTS?,wear,0
16,hmsl_paperclip-5831,SemDis_MEAN,hmslM826NWy8,paperclip,2.2,0.96123,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,use as a connector,6.0
17,hmsl_paperclip-b1b2,SemDis_MEAN,hmslvr0PJxJh,paperclip,1.5,1.06074,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,To hold plastic bags together,1.0
18,motesf_spoon-c2d5,SemDis_MEAN,motesf621b,spoon,2.7,0.99259,motesf,gt_byprompt,What is a surprising use for a SPOON?,put food on the spoon and flick it on the window,8
19,dod20_bottle-e1a8,SemDis_MEAN,dod2041,bottle,4.0,0.77614,dod20,gt_byprompt,What is a surprising use for a BOTTLE?,a lamp,2
20,hmsl_paperclip-1199,SemDis_MEAN,hmsl77sZintI,paperclip,3.0,0.98383,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,as a means of getting a SIM card out of a phone,4.0
21,dod20_pants-7d4f,SemDis_MEAN,dod2034,pants,2.7,,dod20,gt_byprompt,What is a surprising use for PANTS?,a bioazard,3
22,hmsl_paperclip-e793,SemDis_MEAN,hmsl3vBR15MO,paperclip,2.8,0.92206,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,Hold Hanging Decorations (on a string),6.0
23,dod20_shovel-8124,SemDis_MEAN,dod2040,shovel,3.0,0.99651,dod20,gt_byprompt,What is a surprising use for a SHOVEL?,make as decoration piece in home,2
24,hmsl_paperclip-a355,SemDis_MEAN,hmsl13ny39cg,paperclip,2.0,0.87584,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,fix something with it,4.0
25,motesf_bottle-0262,SemDis_MEAN,motesfd395,bottle,2.7,1.07422,motesf,gt_byprompt,What is a surprising use for a BOTTLE?,you can store small things,3
26,motesf_bottle-2d4d,SemDis_MEAN,motesfbac9,bottle,3.0,1.01508,motesf,gt_byprompt,What is a surprising use for a BOTTLE?,use it as a plate,3
27,motesf_spoon-960c,SemDis_MEAN,motesf4918,spoon,2.7,0.96613,motesf,gt_byprompt,What is a surprising use for a SPOON?,you can use it as a cannon,5
28,hmsl_paperclip-0842,SemDis_MEAN,hmsl4e855288,paperclip,1.5,1.04676,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,holder,3.0
29,hmsl_paperclip-502a,SemDis_MEAN,hmsl2FhA1V0Q,paperclip,2.2,1.014,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,Hairclip,1.0
30,dod20_pants-7bb5,SemDis_MEAN,dod2089,pants,2.5,0.90136,dod20,gt_byprompt,What is a surprising use for PANTS?,artwork,2
31,hmsl_paperclip-4e78,SemDis_MEAN,hmslKNj3o6fP,paperclip,2.7,0.90816,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,COULD BE USED TO TIDY A CHILD'S ARTWORK,4.0
32,dod20_pants-f705,SemDis_MEAN,dod2054,pants,3.8,0.76849,dod20,gt_byprompt,What is a surprising use for PANTS?,leash,15
33,motesf_spoon-b38e,SemDis_MEAN,motesf642e,spoon,3.3,0.97383,motesf,gt_byprompt,What is a surprising use for a SPOON?,create a cute (or handsome) friend out of the spoon and name it Bob,4
34,motesf_bottle-8223,SemDis_MEAN,motesf9c83,bottle,3.3,0.90172,motesf,gt_byprompt,What is a surprising use for a BOTTLE?,you could add wheels to the bottom using tape or glue and connect the wheels with a wooden skewer stick and then use the bottle as a car.,5
35,motesf_bottle-0836,SemDis_MEAN,motesfd645,bottle,3.6,0.8976,motesf,gt_byprompt,What is a surprising use for a BOTTLE?,a racquet,3
36,dod20_shovel-aba8,SemDis_MEAN,dod2029,shovel,1.3,0.98534,dod20,gt_byprompt,What is a surprising use for a SHOVEL?,used in construction,0
37,hmsl_paperclip-0b90,SemDis_MEAN,hmslY55OrqzC,paperclip,2.0,1.11017,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,use to unlock a door,3.0
38,motesf_spoon-64d8,SemDis_MEAN,motesf0e65,spoon,1.6,0.93925,motesf,gt_byprompt,What is a surprising use for a SPOON?,be creative with it,8
39,dod20_bottle-2cba,SemDis_MEAN,dod2031,bottle,3.8,1.02718,dod20,gt_byprompt,What is a surprising use for a BOTTLE?,use as a hammer to smash nuts,24
40,dod20_pants-9582,SemDis_MEAN,dod2077,pants,1.5,0.51376,dod20,gt_byprompt,What is a surprising use for PANTS?,leggings,1
41,motesf_bottle-9dc1,SemDis_MEAN,motesf5422,bottle,3.0,0.89969,motesf,gt_byprompt,What is a surprising use for a BOTTLE?,you can make it into a toy car or a rocket,5
42,hmsl_paperclip-932e,SemDis_MEAN,hmslaGzhYc5T,paperclip,3.8,0.92527,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,melt and make into a tiny ball,8.0
43,hmsl_paperclip-f4ae,SemDis_MEAN,hmslhee1Wrlg,paperclip,3.0,0.87587,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,Temporary replacement for missing bolt,5.0
44,hmsl_paperclip-9052,SemDis_MEAN,hmsl344dbgyl,paperclip,2.0,0.88571,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,poke hole,4.0
45,motesf_spoon-28a2,SemDis_MEAN,motesf17e6,spoon,2.1,0.93806,motesf,gt_byprompt,What is a surprising use for a SPOON?,use it to eat pizza,5
