,id,model,participant,prompt,target,predicted,src,split,question,response,response_num
0,motesf_bottle-a42f,SemDis_cbowBNCwikiukwac_nf_m,motesf74db,bottle,3.6,1.01381,motesf,gt_byprompt,What is a surprising use for a BOTTLE?,for you to make pants out of it.,7
1,hmsl_paperclip-2c1e,SemDis_cbowBNCwikiukwac_nf_m,hmsl3drmN5S2,paperclip,2.5,1.01175,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,make a tooth pick out of it,6.0
2,hmsl_paperclip-ab26,SemDis_cbowBNCwikiukwac_nf_m,hmsl5Tsk755o,paperclip,2.2,0.87358,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,Hairpin when no bobby pins are available,3.0
3,motesf_spoon-99ed,SemDis_cbowBNCwikiukwac_nf_m,motesfd9d4,spoon,3.0,1.00439,motesf,gt_byprompt,What is a surprising use for a SPOON?,Glue two spoons together at an angle to make it tongs.,4
4,dod20_shovel-8ffb,SemDis_cbowBNCwikiukwac_nf_m,dod2085,shovel,2.3,1.05182,dod20,gt_byprompt,What is a surprising use for a SHOVEL?,brace something,8
5,dod20_bottle-a3e6,SemDis_cbowBNCwikiukwac_nf_m,dod2036,bottle,3.2,0.95793,dod20,gt_byprompt,What is a surprising use for a BOTTLE?,potting plants,0
6,motesf_bottle-c12c,SemDis_cbowBNCwikiukwac_nf_m,motesf38af,bottle,3.3,0.86741,motesf,gt_byprompt,What is a surprising use for a BOTTLE?,"a robot, a fidget spinner and that's it",6
7,motesf_spoon-210b,SemDis_cbowBNCwikiukwac_nf_m,motesf274a,spoon,3.6,0.99914,motesf,gt_byprompt,What is a surprising use for a SPOON?,make a house with it,7
8,dod20_pants-66c2,SemDis_cbowBNCwikiukwac_nf_m,dod2090,pants,1.5,1.02513,dod20,gt_byprompt,What is a surprising use for PANTS?,holding phone,6
9,hmsl_paperclip-4eed,SemDis_cbowBNCwikiukwac_nf_m,hmslKf5hYM86,paperclip,2.0,0.97291,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,Picture Holder,6.0
10,motesf_spoon-6453,SemDis_cbowBNCwikiukwac_nf_m,motesf67c6,spoon,2.4,0.95064,motesf,gt_byprompt,What is a surprising use for a SPOON?,Use it to dig through the ground.,1
11,motesf_spoon-3dc2,SemDis_cbowBNCwikiukwac_nf_m,motesfe369,spoon,2.7,0.94668,motesf,gt_byprompt,What is a surprising use for a SPOON?,to make a ton,3
12,hmsl_paperclip-2611,SemDis_cbowBNCwikiukwac_nf_m,hmslY2cD7y3X,paperclip,3.0,0.93987,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,flick it into something as a game,5.0
13,hmsl_paperclip-9b33,SemDis_cbowBNCwikiukwac_nf_m,hmslmmD57gcr,paperclip,2.0,0.96742,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,put cloth together ,4.0
14,hmsl_paperclip-d2f2,SemDis_cbowBNCwikiukwac_nf_m,hmsldENdB2Qt,paperclip,2.5,1.02457,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,pick fingernails,12.0
15,dod20_pants-c27f,SemDis_cbowBNCwikiukwac_nf_m,dod2011,pants,1.0,0.6773199999999999,dod20,gt_byprompt,What is a surprising use for PANTS?,wear,0
16,hmsl_paperclip-5831,SemDis_cbowBNCwikiukwac_nf_m,hmslM826NWy8,paperclip,2.2,1.01409,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,use as a connector,6.0
17,hmsl_paperclip-b1b2,SemDis_cbowBNCwikiukwac_nf_m,hmslvr0PJxJh,paperclip,1.5,0.98957,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,To hold plastic bags together,1.0
18,motesf_spoon-c2d5,SemDis_cbowBNCwikiukwac_nf_m,motesf621b,spoon,2.7,1.01981,motesf,gt_byprompt,What is a surprising use for a SPOON?,put food on the spoon and flick it on the window,8
19,dod20_bottle-e1a8,SemDis_cbowBNCwikiukwac_nf_m,dod2041,bottle,4.0,0.73056,dod20,gt_byprompt,What is a surprising use for a BOTTLE?,a lamp,2
20,hmsl_paperclip-1199,SemDis_cbowBNCwikiukwac_nf_m,hmsl77sZintI,paperclip,3.0,0.94734,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,as a means of getting a SIM card out of a phone,4.0
21,dod20_pants-7d4f,SemDis_cbowBNCwikiukwac_nf_m,dod2034,pants,2.7,,dod20,gt_byprompt,What is a surprising use for PANTS?,a bioazard,3
22,hmsl_paperclip-e793,SemDis_cbowBNCwikiukwac_nf_m,hmsl3vBR15MO,paperclip,2.8,1.10747,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,Hold Hanging Decorations (on a string),6.0
23,dod20_shovel-8124,SemDis_cbowBNCwikiukwac_nf_m,dod2040,shovel,3.0,1.01995,dod20,gt_byprompt,What is a surprising use for a SHOVEL?,make as decoration piece in home,2
24,hmsl_paperclip-a355,SemDis_cbowBNCwikiukwac_nf_m,hmsl13ny39cg,paperclip,2.0,0.9784,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,fix something with it,4.0
25,motesf_bottle-0262,SemDis_cbowBNCwikiukwac_nf_m,motesfd395,bottle,2.7,1.00726,motesf,gt_byprompt,What is a surprising use for a BOTTLE?,you can store small things,3
26,motesf_bottle-2d4d,SemDis_cbowBNCwikiukwac_nf_m,motesfbac9,bottle,3.0,0.95626,motesf,gt_byprompt,What is a surprising use for a BOTTLE?,use it as a plate,3
