,id,model,participant,prompt,target,predicted,src,split,question,response,response_num
0,motesf_bottle-a42f,SemDis_glove_nf_m,motesf74db,bottle,3.6,1.12124,motesf,gt_byprompt,What is a surprising use for a BOTTLE?,for you to make pants out of it.,7
1,hmsl_paperclip-2c1e,SemDis_glove_nf_m,hmsl3drmN5S2,paperclip,2.5,1.30125,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,make a tooth pick out of it,6.0
2,hmsl_paperclip-ab26,SemDis_glove_nf_m,hmsl5Tsk755o,paperclip,2.2,1.25357,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,Hairpin when no bobby pins are available,3.0
3,motesf_spoon-99ed,SemDis_glove_nf_m,motesfd9d4,spoon,3.0,1.02528,motesf,gt_byprompt,What is a surprising use for a SPOON?,Glue two spoons together at an angle to make it tongs.,4
4,dod20_shovel-8ffb,SemDis_glove_nf_m,dod2085,shovel,2.3,1.10666,dod20,gt_byprompt,What is a surprising use for a SHOVEL?,brace something,8
5,dod20_bottle-a3e6,SemDis_glove_nf_m,dod2036,bottle,3.2,0.8349,dod20,gt_byprompt,What is a surprising use for a BOTTLE?,potting plants,0
6,motesf_bottle-c12c,SemDis_glove_nf_m,motesf38af,bottle,3.3,1.04722,motesf,gt_byprompt,What is a surprising use for a BOTTLE?,"a robot, a fidget spinner and that's it",6
7,motesf_spoon-210b,SemDis_glove_nf_m,motesf274a,spoon,3.6,1.02725,motesf,gt_byprompt,What is a surprising use for a SPOON?,make a house with it,7
8,dod20_pants-66c2,SemDis_glove_nf_m,dod2090,pants,1.5,1.14643,dod20,gt_byprompt,What is a surprising use for PANTS?,holding phone,6
9,hmsl_paperclip-4eed,SemDis_glove_nf_m,hmslKf5hYM86,paperclip,2.0,0.5359400000000001,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,Picture Holder,6.0
10,motesf_spoon-6453,SemDis_glove_nf_m,motesf67c6,spoon,2.4,0.93203,motesf,gt_byprompt,What is a surprising use for a SPOON?,Use it to dig through the ground.,1
11,motesf_spoon-3dc2,SemDis_glove_nf_m,motesfe369,spoon,2.7,0.93971,motesf,gt_byprompt,What is a surprising use for a SPOON?,to make a ton,3
12,hmsl_paperclip-2611,SemDis_glove_nf_m,hmslY2cD7y3X,paperclip,3.0,1.33863,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,flick it into something as a game,5.0
13,hmsl_paperclip-9b33,SemDis_glove_nf_m,hmslmmD57gcr,paperclip,2.0,1.5151400000000002,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,put cloth together ,4.0
14,hmsl_paperclip-d2f2,SemDis_glove_nf_m,hmsldENdB2Qt,paperclip,2.5,1.09466,hmsl,gt_byprompt,What is a surprising use for a PAPERCLIP?,pick fingernails,12.0
15,dod20_pants-c27f,SemDis_glove_nf_m,dod2011,pants,1.0,0.37781,dod20,gt_byprompt,What is a surprising use for PANTS?,wear,0
