,id,model,participant,prompt,target,predicted,src,total_tokens,proportion
0,motesf_bottle-a42f,gpt3-ada,motesf74db,bottle,3.6,4.0,motesf,22,1
0,hmsl_paperclip-2c1e,gpt3-ada,hmsl3drmN5S2,paperclip,2.5,3.0,hmsl,20,1
0,hmsl_paperclip-ab26,gpt3-ada,hmsl5Tsk755o,paperclip,2.2,2.7,hmsl,23,1
0,motesf_spoon-99ed,gpt3-ada,motesfd9d4,spoon,3.0,4.3,motesf,28,1
0,dod20_shovel-8ffb,gpt3-ada,dod2085,shovel,2.3,3.2,dod20,16,1
0,dod20_bottle-a3e6,gpt3-ada,dod2036,bottle,3.2,2.7,dod20,16,1
0,motesf_bottle-c12c,gpt3-ada,motesf38af,bottle,3.3,4.1,motesf,25,1
0,motesf_spoon-210b,gpt3-ada,motesf274a,spoon,3.6,1.7,motesf,18,1
0,dod20_pants-66c2,gpt3-ada,dod2090,pants,1.5,3.6,dod20,14,1
0,hmsl_paperclip-4eed,gpt3-ada,hmslKf5hYM86,paperclip,2.0,2.7,hmsl,15,1
0,motesf_spoon-6453,gpt3-ada,motesf67c6,spoon,2.4,2.7,motesf,21,1
0,motesf_spoon-3dc2,gpt3-ada,motesfe369,spoon,2.7,2.3,motesf,17,1
0,hmsl_paperclip-2611,gpt3-ada,hmslY2cD7y3X,paperclip,3.0,2.1,hmsl,21,1
0,hmsl_paperclip-9b33,gpt3-ada,hmslmmD57gcr,paperclip,2.0,2.7,hmsl,17,1
0,hmsl_paperclip-d2f2,gpt3-ada,hmsldENdB2Qt,paperclip,2.5,2.7,hmsl,17,1
0,dod20_pants-c27f,gpt3-ada,dod2011,pants,1.0,1.0,dod20,13,1
0,hmsl_paperclip-5831,gpt3-ada,hmslM826NWy8,paperclip,2.2,2.7,hmsl,17,1
0,hmsl_paperclip-b1b2,gpt3-ada,hmslvr0PJxJh,paperclip,1.5,2.4,hmsl,18,1
0,motesf_spoon-c2d5,gpt3-ada,motesf621b,spoon,2.7,2.7,motesf,24,1
0,dod20_bottle-e1a8,gpt3-ada,dod2041,bottle,4.0,2.7,dod20,15,1
0,hmsl_paperclip-1199,gpt3-ada,hmsl77sZintI,paperclip,3.0,3.6,hmsl,25,1
0,dod20_pants-7d4f,gpt3-ada,dod2034,pants,2.7,3.0,dod20,15,1
0,hmsl_paperclip-e793,gpt3-ada,hmsl3vBR15MO,paperclip,2.8,2.1,hmsl,24,1
0,dod20_shovel-8124,gpt3-ada,dod2040,shovel,3.0,2.3,dod20,20,1
0,hmsl_paperclip-a355,gpt3-ada,hmsl13ny39cg,paperclip,2.0,2.1,hmsl,17,1
0,motesf_bottle-0262,gpt3-ada,motesfd395,bottle,2.7,1.3,motesf,18,1
0,motesf_bottle-2d4d,gpt3-ada,motesfbac9,bottle,3.0,3.3,motesf,18,1
0,motesf_spoon-960c,gpt3-ada,motesf4918,spoon,2.7,3.0,motesf,20,1
0,hmsl_paperclip-0842,gpt3-ada,hmsl4e855288,paperclip,1.5,2.1,hmsl,14,1
0,hmsl_paperclip-502a,gpt3-ada,hmsl2FhA1V0Q,paperclip,2.2,1.6,hmsl,16,1
0,dod20_pants-7bb5,gpt3-ada,dod2089,pants,2.5,2.7,dod20,14,1
0,hmsl_paperclip-4e78,gpt3-ada,hmslKNj3o6fP,paperclip,2.7,2.7,hmsl,29,1
0,dod20_pants-f705,gpt3-ada,dod2054,pants,3.8,2.1,dod20,14,1
0,motesf_spoon-b38e,gpt3-ada,motesf642e,spoon,3.3,4.1,motesf,29,1
0,motesf_bottle-8223,gpt3-ada,motesf9c83,bottle,3.3,4.3,motesf,43,1
0,motesf_bottle-0836,gpt3-ada,motesfd645,bottle,3.6,3.6,motesf,16,1
0,dod20_shovel-aba8,gpt3-ada,dod2029,shovel,1.3,1.0,dod20,17,1
0,hmsl_paperclip-0b90,gpt3-ada,hmslY55OrqzC,paperclip,2.0,2.7,hmsl,18,1
0,motesf_spoon-64d8,gpt3-ada,motesf0e65,spoon,1.6,1.7,motesf,17,1
0,dod20_bottle-2cba,gpt3-ada,dod2031,bottle,3.8,3.0,dod20,20,1
0,dod20_pants-9582,gpt3-ada,dod2077,pants,1.5,1.3,dod20,15,1
0,motesf_bottle-9dc1,gpt3-ada,motesf5422,bottle,3.0,3.0,motesf,24,1
0,hmsl_paperclip-932e,gpt3-ada,hmslaGzhYc5T,paperclip,3.8,2.7,hmsl,21,1
0,hmsl_paperclip-f4ae,gpt3-ada,hmslhee1Wrlg,paperclip,3.0,2.7,hmsl,19,1
0,hmsl_paperclip-9052,gpt3-ada,hmsl344dbgyl,paperclip,2.0,2.1,hmsl,15,1
0,motesf_spoon-28a2,gpt3-ada,motesf17e6,spoon,2.1,1.3,motesf,18,1
0,hmsl_paperclip-6fb8,gpt3-ada,hmslw2E2r112,paperclip,2.3,2.1,hmsl,16,1
0,hmsl_paperclip-ef91,gpt3-ada,hmslFh8745VU,paperclip,3.2,2.7,hmsl,22,1
0,dod20_bottle-d6a0,gpt3-ada,dod2034,bottle,3.5,3.0,dod20,15,1
0,motesf_spoon-c033,gpt3-ada,motesf38b3,spoon,2.4,1.0,motesf,15,1
0,hmsl_paperclip-f005,gpt3-ada,hmslRl8IcXro,paperclip,3.0,2.7,hmsl,17,1
0,motesf_bottle-9f40,gpt3-ada,motesff4b9,bottle,4.1,4.0,motesf,59,1
0,hmsl_paperclip-819a,gpt3-ada,hmslW8K1dDJu,paperclip,2.7,3.0,hmsl,19,1
0,hmsl_paperclip-77fc,gpt3-ada,hmslt7SqCvg4,paperclip,2.0,2.7,hmsl,16,1
