,id,model,participant,prompt,target,predicted,src
0,motesf_bottle-a42f,ocs-main,motesf74db,bottle,3.6,0.7652601415489693,motesf
1,hmsl_paperclip-2c1e,ocs-main,hmsl3drmN5S2,paperclip,2.5,0.8020439120799198,hmsl
2,hmsl_paperclip-ab26,ocs-main,hmsl5Tsk755o,paperclip,2.2,0.882647825468968,hmsl
3,motesf_spoon-99ed,ocs-main,motesfd9d4,spoon,3.0,0.6751113585582644,motesf
4,dod20_shovel-8ffb,ocs-main,dod2085,shovel,2.3,0.8877613171935081,dod20
5,dod20_bottle-a3e6,ocs-main,dod2036,bottle,3.2,0.9462893178313231,dod20
6,motesf_bottle-c12c,ocs-main,motesf38af,bottle,3.3,0.9338275803807079,motesf
7,motesf_spoon-210b,ocs-main,motesf274a,spoon,3.6,0.9804334510117769,motesf
8,dod20_pants-66c2,ocs-main,dod2090,pants,1.5,0.8747521412791357,dod20
9,hmsl_paperclip-4eed,ocs-main,hmslKf5hYM86,paperclip,2.0,0.729077640163948,hmsl
10,motesf_spoon-6453,ocs-main,motesf67c6,spoon,2.4,0.8797654734218566,motesf
11,motesf_spoon-3dc2,ocs-main,motesfe369,spoon,2.7,0.9279380440711975,motesf
12,hmsl_paperclip-2611,ocs-main,hmslY2cD7y3X,paperclip,3.0,0.8812560817666595,hmsl
13,hmsl_paperclip-9b33,ocs-main,hmslmmD57gcr,paperclip,2.0,0.5745703279972076,hmsl
14,hmsl_paperclip-d2f2,ocs-main,hmsldENdB2Qt,paperclip,2.5,0.7830030873745777,hmsl
15,dod20_pants-c27f,ocs-main,dod2011,pants,1.0,0.377808153629303,dod20
16,hmsl_paperclip-5831,ocs-main,hmslM826NWy8,paperclip,2.2,0.8304330804942708,hmsl
17,hmsl_paperclip-b1b2,ocs-main,hmslvr0PJxJh,paperclip,1.5,0.6125513040677335,hmsl
18,motesf_spoon-c2d5,ocs-main,motesf621b,spoon,2.7,0.8561753014596378,motesf
19,dod20_bottle-e1a8,ocs-main,dod2041,bottle,4.0,0.7050396800041199,dod20
20,hmsl_paperclip-1199,ocs-main,hmsl77sZintI,paperclip,3.0,0.7644503663152991,hmsl
21,hmsl_paperclip-e793,ocs-main,hmsl3vBR15MO,paperclip,2.8,0.8068381989899617,hmsl
22,dod20_shovel-8124,ocs-main,dod2040,shovel,3.0,0.9520088973756331,dod20
23,hmsl_paperclip-a355,ocs-main,hmsl13ny39cg,paperclip,2.0,0.9180924445390701,hmsl
24,motesf_bottle-0262,ocs-main,motesfd395,bottle,2.7,0.7253718385826771,motesf
25,motesf_bottle-2d4d,ocs-main,motesfbac9,bottle,3.0,0.7725666149792441,motesf
26,motesf_spoon-960c,ocs-main,motesf4918,spoon,2.7,0.9679735143440488,motesf
27,hmsl_paperclip-0842,ocs-main,hmsl4e855288,paperclip,1.5,0.8194559067487717,hmsl
28,dod20_pants-7bb5,ocs-main,dod2089,pants,2.5,0.8786841258406639,dod20
29,hmsl_paperclip-4e78,ocs-main,hmslKNj3o6fP,paperclip,2.7,0.7454469701884052,hmsl
30,dod20_pants-f705,ocs-main,dod2054,pants,3.8,0.668971061706543,dod20
31,motesf_spoon-b38e,ocs-main,motesf642e,spoon,3.3,0.9495822094486671,motesf
32,motesf_bottle-8223,ocs-main,motesf9c83,bottle,3.3,0.8340899436989846,motesf
33,motesf_bottle-0836,ocs-main,motesfd645,bottle,3.6,0.8832394331693649,motesf
34,dod20_shovel-aba8,ocs-main,dod2029,shovel,1.3,0.835501492023468,dod20
35,hmsl_paperclip-0b90,ocs-main,hmslY55OrqzC,paperclip,2.0,0.8920630677878756,hmsl
36,motesf_spoon-64d8,ocs-main,motesf0e65,spoon,1.6,0.9580154158174992,motesf
37,dod20_bottle-2cba,ocs-main,dod2031,bottle,3.8,0.7862322982393917,dod20
38,dod20_pants-9582,ocs-main,dod2077,pants,1.5,0.3846311569213867,dod20
39,motesf_bottle-9dc1,ocs-main,motesf5422,bottle,3.0,0.7436744729214178,motesf
40,hmsl_paperclip-932e,ocs-main,hmslaGzhYc5T,paperclip,3.8,0.7735912574687024,hmsl
41,hmsl_paperclip-f4ae,ocs-main,hmslhee1Wrlg,paperclip,3.0,0.8468006777582836,hmsl
42,hmsl_paperclip-9052,ocs-main,hmsl344dbgyl,paperclip,2.0,0.8012525867755145,hmsl
43,motesf_spoon-28a2,ocs-main,motesf17e6,spoon,2.1,0.7377208273531859,motesf
44,hmsl_paperclip-6fb8,ocs-main,hmslw2E2r112,paperclip,2.3,0.8533922284841537,hmsl
45,hmsl_paperclip-ef91,ocs-main,hmslFh8745VU,paperclip,3.2,0.8819027952345387,hmsl
46,dod20_bottle-d6a0,ocs-main,dod2034,bottle,3.5,0.804222971200943,dod20
47,motesf_spoon-c033,ocs-main,motesf38b3,spoon,2.4,0.7182484567165375,motesf
48,hmsl_paperclip-f005,ocs-main,hmslRl8IcXro,paperclip,3.0,0.9837152374178456,hmsl
49,motesf_bottle-9f40,ocs-main,motesff4b9,bottle,4.1,0.7997294476056505,motesf
50,hmsl_paperclip-819a,ocs-main,hmslW8K1dDJu,paperclip,2.7,0.8781159195383357,hmsl
51,hmsl_paperclip-77fc,ocs-main,hmslt7SqCvg4,paperclip,2.0,0.7914996854667851,hmsl
52,motesf_bottle-426a,ocs-main,motesf0504,bottle,3.3,0.9226372912526131,motesf
53,hmsl_paperclip-3dda,ocs-main,hmsl57D9S225,paperclip,2.0,0.6889679133892059,hmsl
54,motesf_bottle-7359,ocs-main,motesfef0d,bottle,2.7,0.8605817724320547,motesf
55,motesf_bottle-11a3,ocs-main,motesfc5ff,bottle,3.6,0.7808078050155302,motesf
56,motesf_spoon-fe49,ocs-main,motesf7f6f,spoon,2.4,0.7553312394354426,motesf
57,motesf_bottle-b6d4,ocs-main,motesf2a38,bottle,1.9,0.7129168235669852,motesf
58,hmsl_paperclip-d03a,ocs-main,hmslB2edM796,paperclip,3.5,0.8868618209106396,hmsl
59,motesf_bottle-48b0,ocs-main,motesf0266,bottle,2.1,0.832327449782496,motesf
60,hmsl_paperclip-ca3b,ocs-main,hmsly86m7fS0,paperclip,2.3,0.9406775198876858,hmsl
61,dod20_shovel-70a5,ocs-main,dod2041,shovel,3.0,0.8060340428168569,dod20
62,motesf_spoon-3cf0,ocs-main,motesf44f6,spoon,2.4,0.8198234204753787,motesf
63,hmsl_paperclip-9f70,ocs-main,hmslVbp87P2F,paperclip,1.3,0.7778098881244659,hmsl
64,hmsl_paperclip-52cf,ocs-main,hmsl989BoJRx,paperclip,3.7,0.8305346892750585,hmsl
65,hmsl_paperclip-ec42,ocs-main,hmsl88ft50be,paperclip,2.5,0.7557824531226714,hmsl
