,id,model,participant,prompt,target,predicted,src,split
0,hmsl_paperclip-64e0,t5-base,hmsls01B0XS8,paperclip,2.5,2.7,hmsl,gt_byprompt
1,hmsl_paperclip-9cdd,t5-base,hmsl6EcRhhAL,paperclip,2.5,2.7,hmsl,gt_byprompt
2,dod20_bottle-dd0f,t5-base,dod2048,bottle,2.2,3.3,dod20,gt_byprompt
3,motesf_bottle-3242,t5-base,motesff457,bottle,3.6,2.7,motesf,gt_byprompt
4,dod20_pants-7d4f,t5-base,dod2034,pants,2.7,3.6,dod20,gt_byprompt
5,hmsl_paperclip-3ae3,t5-base,hmsl1xS08G27,paperclip,2.0,2.7,hmsl,gt_byprompt
6,hmsl_paperclip-604d,t5-base,hmslbM0Ib3j5,paperclip,2.0,2.7,hmsl,gt_byprompt
7,dod20_pants-0632,t5-base,dod2015,pants,3.3,3.3,dod20,gt_byprompt
8,hmsl_paperclip-28d6,t5-base,hmslIT6ztEpf,paperclip,3.0,2.7,hmsl,gt_byprompt
9,dod20_bottle-769a,t5-base,dod2025,bottle,2.7,1.7,dod20,gt_byprompt
10,dod20_pants-09b1,t5-base,dod2048,pants,2.5,3.3,dod20,gt_byprompt
11,motesf_spoon-c2d5,t5-base,motesf621b,spoon,2.7,2.7,motesf,gt_byprompt
12,dod20_bottle-b937,t5-base,dod2055,bottle,2.7,1.9,dod20,gt_byprompt
13,hmsl_paperclip-782f,t5-base,hmslLUdy216o,paperclip,3.0,3.3,hmsl,gt_byprompt
14,hmsl_paperclip-c2a4,t5-base,hmsls01B0XS8,paperclip,1.7000000000000002,3.3,hmsl,gt_byprompt
15,dod20_bottle-27aa,t5-base,dod2040,bottle,3.8,3.3,dod20,gt_byprompt
16,hmsl_paperclip-c16f,t5-base,hmsl14BdrD3U,paperclip,4.0,3.9,hmsl,gt_byprompt
17,hmsl_paperclip-2145,t5-base,hmsllGi8mYM4,paperclip,2.5,3.3,hmsl,gt_byprompt
18,hmsl_paperclip-09c3,t5-base,hmsldmIgzB0X,paperclip,2.0,2.3,hmsl,gt_byprompt
19,hmsl_paperclip-3955,t5-base,hmslSVFD8luX,paperclip,1.5,3.3,hmsl,gt_byprompt
20,hmsl_paperclip-e356,t5-base,hmslG63FgMsT,paperclip,2.5,2.7,hmsl,gt_byprompt
21,dod20_bottle-1f0c,t5-base,dod2062,bottle,2.5,3.3,dod20,gt_byprompt
22,hmsl_paperclip-7e6f,t5-base,hmsldTYiXuFS,paperclip,1.3,1.6,hmsl,gt_byprompt
23,motesf_bottle-fc97,t5-base,motesfeecc,bottle,3.6,4.1,motesf,gt_byprompt
24,hmsl_paperclip-7b3d,t5-base,hmsl77sZintI,paperclip,2.3,2.7,hmsl,gt_byprompt
25,hmsl_paperclip-6cc5,t5-base,hmslZF13l8N3,paperclip,3.0,2.1,hmsl,gt_byprompt
26,hmsl_paperclip-932e,t5-base,hmslaGzhYc5T,paperclip,3.8,3.3,hmsl,gt_byprompt
27,motesf_bottle-0cf7,t5-base,motesf11b9,bottle,3.0,3.9,motesf,gt_byprompt
28,hmsl_paperclip-85b2,t5-base,hmslbCCPp06L,paperclip,2.0,3.3,hmsl,gt_byprompt
29,dod20_bottle-e6a0,t5-base,dod208,bottle,3.8,3.0,dod20,gt_byprompt
30,dod20_pants-1e28,t5-base,dod2053,pants,2.5,3.3,dod20,gt_byprompt
31,dod20_shovel-4911,t5-base,dod2062,shovel,3.7,2.8,dod20,gt_byprompt
32,hmsl_paperclip-3f94,t5-base,hmsl0vNR3LcA,paperclip,1.2,1.3,hmsl,gt_byprompt
33,motesf_bottle-c32d,t5-base,motesf1f0e,bottle,2.1,2.7,motesf,gt_byprompt
34,hmsl_paperclip-41e1,t5-base,hmsl1xS08G27,paperclip,2.0,2.7,hmsl,gt_byprompt
35,dod20_bottle-39c5,t5-base,dod2064,bottle,3.0,2.1,dod20,gt_byprompt
36,hmsl_paperclip-1b80,t5-base,hmsl5Tsk755o,paperclip,2.2,3.3,hmsl,gt_byprompt
37,dod20_pants-f0b6,t5-base,dod2078,pants,3.3,3.3,dod20,gt_byprompt
38,motesf_bottle-eed0,t5-base,motesf32bb,bottle,2.1,2.7,motesf,gt_byprompt
39,hmsl_paperclip-9257,t5-base,hmsl4HiPU3ch,paperclip,2.8,2.1,hmsl,gt_byprompt
40,hmsl_paperclip-175c,t5-base,hmslY25HD9n2,paperclip,2.3,2.4,hmsl,gt_byprompt
41,motesf_bottle-1d85,t5-base,motesfcf00,bottle,2.1,1.6,motesf,gt_byprompt
42,dod20_bottle-9c21,t5-base,dod2031,bottle,3.0,2.7,dod20,gt_byprompt
43,hmsl_paperclip-6d3c,t5-base,hmsl7uS4dhoU,paperclip,2.2,2.4,hmsl,gt_byprompt
44,dod20_pants-2082,t5-base,dod2087,pants,2.0,2.7,dod20,gt_byprompt
45,dod20_pants-40e9,t5-base,dod2037,pants,1.0,3.3,dod20,gt_byprompt
46,hmsl_paperclip-76ca,t5-base,hmsl59auf5Di,paperclip,2.6,2.7,hmsl,gt_byprompt
47,hmsl_paperclip-ebc3,t5-base,hmsl26AI7yNO,paperclip,3.0,2.7,hmsl,gt_byprompt
48,motesf_bottle-604d,t5-base,motesf093f,bottle,2.4,2.7,motesf,gt_byprompt
49,dod20_bottle-7869,t5-base,dod206,bottle,3.3,3.6,dod20,gt_byprompt
50,hmsl_paperclip-a71d,t5-base,hmslac93CkSi,paperclip,3.0,3.7,hmsl,gt_byprompt
51,dod20_pants-4671,t5-base,dod2081,pants,2.5,2.1,dod20,gt_byprompt
52,hmsl_paperclip-0456,t5-base,hmslTz3xw8MP,paperclip,1.0,1.3,hmsl,gt_byprompt
53,motesf_bottle-16f1,t5-base,motesf58a2,bottle,3.3,3.9,motesf,gt_byprompt
54,motesf_bottle-ec9d,t5-base,motesf9f61,bottle,4.4,4.1,motesf,gt_byprompt
55,hmsl_paperclip-54ed,t5-base,hmsljC6kp1W5,paperclip,1.7000000000000002,3.3,hmsl,gt_byprompt
56,dod20_pants-298b,t5-base,dod203,pants,2.2,3.6,dod20,gt_byprompt
57,hmsl_paperclip-c939,t5-base,hmsl1hb56yYu,paperclip,3.0,3.3,hmsl,gt_byprompt
58,dod20_pants-8e55,t5-base,dod2015,pants,2.2,2.7,dod20,gt_byprompt
59,dod20_pants-a092,t5-base,dod2037,pants,1.3,3.3,dod20,gt_byprompt
60,motesf_bottle-87c3,t5-base,motesfa1d0,bottle,3.0,4.1,motesf,gt_byprompt
61,motesp-g1_bottle-12AM,t5-base,12AM,bottle,3.0,3.9,motesp,gt_byprompt
62,hmsl_paperclip-24d3,t5-base,hmslB2edM796,paperclip,1.0,2.1,hmsl,gt_byprompt
63,hmsl_paperclip-f6f0,t5-base,hmsl7bxXP4eJ,paperclip,1.0,1.3,hmsl,gt_byprompt
64,hmsl_paperclip-5d25,t5-base,hmslIT6ztEpf,paperclip,3.0,2.7,hmsl,gt_byprompt
65,motesp-g1_spoon-16AA,t5-base,16AA,spoon,3.9,3.9,motesp,gt_byprompt
66,hmsl_paperclip-87ef,t5-base,hmslMzKGrHfk,paperclip,2.5,2.7,hmsl,gt_byprompt
67,motesf_spoon-a639,t5-base,motesfe2ef,spoon,2.4,1.6,motesf,gt_byprompt
68,dod20_pants-7b3d,t5-base,dod203,pants,2.0,2.7,dod20,gt_byprompt
69,dod20_bottle-e595,t5-base,dod2050,bottle,4.0,3.9,dod20,gt_byprompt
70,hmsl_paperclip-b037,t5-base,hmsl4RcV7Sp1,paperclip,3.5,3.9,hmsl,gt_byprompt
71,hmsl_paperclip-f55f,t5-base,hmslCcn6Y56v,paperclip,3.2,2.1,hmsl,gt_byprompt
72,hmsl_paperclip-7470,t5-base,hmsly5XIy25u,paperclip,2.3,2.7,hmsl,gt_byprompt
73,dod20_bottle-5ffa,t5-base,dod2052,bottle,2.8,1.6,dod20,gt_byprompt
74,hmsl_paperclip-9846,t5-base,hmslKf5hYM86,paperclip,3.2,3.9,hmsl,gt_byprompt
75,hmsl_paperclip-6659,t5-base,hmslB0o9M8xC,paperclip,4.3,4.1,hmsl,gt_byprompt
76,dod20_shovel-d1be,t5-base,dod2032,shovel,2.7,3.5,dod20,gt_byprompt
77,motesf_bottle-f256,t5-base,motesf6974,bottle,3.3,3.9,motesf,gt_byprompt
78,dod20_bottle-3e4d,t5-base,dod2037,bottle,1.0,1.3,dod20,gt_byprompt
79,hmsl_paperclip-2cb7,t5-base,hmslP3oBZCkA,paperclip,1.0,1.3,hmsl,gt_byprompt
80,hmsl_paperclip-b5ce,t5-base,hmslaGzhYc5T,paperclip,2.8,2.7,hmsl,gt_byprompt
81,hmsl_paperclip-0297,t5-base,hmsll9pCqCGT,paperclip,1.8,1.3,hmsl,gt_byprompt
82,dod20_shovel-b678,t5-base,dod206,shovel,2.0,1.6,dod20,gt_byprompt
83,hmsl_paperclip-3be9,t5-base,hmsl77sZintI,paperclip,2.0,3.3,hmsl,gt_byprompt
84,dod20_shovel-466d,t5-base,dod2063,shovel,1.0,2.7,dod20,gt_byprompt
85,hmsl_paperclip-e4d8,t5-base,hmsl77sZintI,paperclip,1.8,1.9,hmsl,gt_byprompt
86,hmsl_paperclip-c82a,t5-base,hmsl9ZsvZCS0,paperclip,1.5,3.3,hmsl,gt_byprompt
87,hmsl_paperclip-6a1f,t5-base,hmslJxuQ6c1f,paperclip,3.3,1.7,hmsl,gt_byprompt
88,dod20_shovel-1cb1,t5-base,dod2010,shovel,1.0,2.7,dod20,gt_byprompt
89,hmsl_paperclip-d498,t5-base,hmslAHxx5oRE,paperclip,2.8,3.3,hmsl,gt_byprompt
90,dod20_shovel-b322,t5-base,dod2052,shovel,4.2,2.7,dod20,gt_byprompt
91,hmsl_paperclip-d24b,t5-base,hmslSVFD8luX,paperclip,1.0,1.9,hmsl,gt_byprompt
92,dod20_bottle-8508,t5-base,dod2050,bottle,3.5,3.3,dod20,gt_byprompt
93,dod20_bottle-654f,t5-base,dod2029,bottle,1.0,2.7,dod20,gt_byprompt
94,motesf_spoon-c139,t5-base,motesf0402,spoon,2.4,3.9,motesf,gt_byprompt
95,hmsl_paperclip-e28b,t5-base,hmsl4e855288,paperclip,2.3,1.7,hmsl,gt_byprompt
96,hmsl_paperclip-582a,t5-base,hmslKf5hYM86,paperclip,2.0,2.7,hmsl,gt_byprompt
