,id,model,participant,prompt,target,predicted,src
0,betal18_rope-b7c4,gpt-emb-text-embedding-ada-002,betal182048,rope,2.4,0.21923373451489803,betal18
1,snb17_rope-f4f4,gpt-emb-text-embedding-ada-002,snb1767,rope,2.3,0.22846985162665367,snb17
2,snb17_rope-6750,gpt-emb-text-embedding-ada-002,snb1754,rope,1.3,0.19590432131652835,snb17
3,dod20_rope-0785,gpt-emb-text-embedding-ada-002,dod2043,rope,2.3,0.20049075742465494,dod20
4,betal18_rope-1d56,gpt-emb-text-embedding-ada-002,betal182155,rope,1.3,0.24031654279700143,betal18
5,betal18_rope-d5f5,gpt-emb-text-embedding-ada-002,betal182117,rope,1.0,0.19102786706007513,betal18
6,dod20_rope-40e6,gpt-emb-text-embedding-ada-002,dod2060,rope,2.5,0.2067777730992496,dod20
7,betal18_rope-735e,gpt-emb-text-embedding-ada-002,betal182182,rope,1.0,0.18080242714535166,betal18
8,snb17_rope-5da9,gpt-emb-text-embedding-ada-002,snb17130,rope,2.0,0.2012290573052189,snb17
9,betal18_rope-beae,gpt-emb-text-embedding-ada-002,betal182053,rope,1.3,0.19860119320686764,betal18
10,betal18_rope-71db,gpt-emb-text-embedding-ada-002,betal182181,rope,1.0,0.16783730165374344,betal18
11,dod20_rope-a298,gpt-emb-text-embedding-ada-002,dod2023,rope,2.2,0.1708494897038555,dod20
12,snb17_rope-48bd,gpt-emb-text-embedding-ada-002,snb17149,rope,2.3,0.26049240893479897,snb17
13,betal18_rope-9981,gpt-emb-text-embedding-ada-002,betal182153,rope,1.0,0.18770723148490254,betal18
14,betal18_rope-7747,gpt-emb-text-embedding-ada-002,betal182113,rope,1.3,0.16596725845372562,betal18
15,betal18_rope-cff2,gpt-emb-text-embedding-ada-002,betal182059,rope,2.7,0.20198295708997216,betal18
16,snb17_rope-c21f,gpt-emb-text-embedding-ada-002,snb1722,rope,2.7,0.19925395235029775,snb17
17,dod20_rope-6d13,gpt-emb-text-embedding-ada-002,dod2057,rope,3.5,0.21390243935139897,dod20
18,snb17_rope-ebad,gpt-emb-text-embedding-ada-002,snb1722,rope,1.3,0.1581627169419879,snb17
19,betal18_rope-5160,gpt-emb-text-embedding-ada-002,betal182162,rope,1.6,0.2121104311940606,betal18
20,betal18_rope-e8d6,gpt-emb-text-embedding-ada-002,betal182149,rope,1.3,0.20976096607829997,betal18
21,snb17_rope-c3b7,gpt-emb-text-embedding-ada-002,snb173,rope,1.3,0.20956945995005594,snb17
22,betal18_rope-7bb2,gpt-emb-text-embedding-ada-002,betal182079,rope,1.3,0.14960951871661743,betal18
23,betal18_rope-23ef,gpt-emb-text-embedding-ada-002,betal182050,rope,2.4,0.21075003098787704,betal18
24,betal18_rope-910a,gpt-emb-text-embedding-ada-002,betal182048,rope,2.1,0.2178326756373512,betal18
25,snb17_rope-3d6a,gpt-emb-text-embedding-ada-002,snb17100,rope,2.3,0.1923449944279505,snb17
26,betal18_rope-69f4,gpt-emb-text-embedding-ada-002,betal182088,rope,2.7,0.2374301209379115,betal18
27,snb17_rope-0479,gpt-emb-text-embedding-ada-002,snb1771,rope,1.7000000000000002,0.22174977244937388,snb17
28,snb17_rope-3969,gpt-emb-text-embedding-ada-002,snb17105,rope,2.0,0.19820581819963456,snb17
29,snb17_rope-1e94,gpt-emb-text-embedding-ada-002,snb1795,rope,2.3,0.23532590980719437,snb17
30,betal18_rope-5226,gpt-emb-text-embedding-ada-002,betal182030,rope,2.1,0.18643017084427838,betal18
31,betal18_rope-de88,gpt-emb-text-embedding-ada-002,betal182108,rope,2.1,0.2282047965424131,betal18
32,dod20_rope-14d5,gpt-emb-text-embedding-ada-002,dod2030,rope,1.8,0.09386226029535694,dod20
33,betal18_rope-0126,gpt-emb-text-embedding-ada-002,betal182093,rope,1.9,0.22684743192812118,betal18
34,snb17_rope-9f0c,gpt-emb-text-embedding-ada-002,snb17140,rope,2.3,0.19793462211761093,snb17
35,betal18_rope-000b,gpt-emb-text-embedding-ada-002,betal182047,rope,3.3,0.23463163200893267,betal18
36,snb17_rope-753c,gpt-emb-text-embedding-ada-002,snb1718,rope,1.3,0.1747229016939318,snb17
37,snb17_rope-e5d6,gpt-emb-text-embedding-ada-002,snb1729,rope,2.7,0.20480483242473757,snb17
38,betal18_rope-e400,gpt-emb-text-embedding-ada-002,betal182007,rope,2.4,0.23080041155712994,betal18
39,snb17_rope-f2df,gpt-emb-text-embedding-ada-002,snb1763,rope,1.3,0.22410707048227196,snb17
40,snb17_rope-37fc,gpt-emb-text-embedding-ada-002,snb1786,rope,1.3,0.19115122778738303,snb17
41,snb17_rope-5887,gpt-emb-text-embedding-ada-002,snb1798,rope,1.0,0.19536500242817678,snb17
42,snb17_rope-9d24,gpt-emb-text-embedding-ada-002,snb1768,rope,1.7000000000000002,0.19312692655998243,snb17
43,dod20_rope-e562,gpt-emb-text-embedding-ada-002,dod2085,rope,2.7,0.2065053594897105,dod20
44,dod20_rope-0134,gpt-emb-text-embedding-ada-002,dod2088,rope,2.5,0.1836506531760531,dod20
