,id,model,participant,prompt,target,predicted,src
0,motesf_pencil-1175,gpt-emb-text-similarity-ada-001,motesf202c,pencil,2.4,0.2634024395015354,motesf
1,motesf_pencil-a34b,gpt-emb-text-similarity-ada-001,motesf7e77,pencil,3.0,0.1829658712612443,motesf
2,motesf_pencil-fd96,gpt-emb-text-similarity-ada-001,motesff717,pencil,3.3,0.1998288157394631,motesf
3,motesf_pencil-a4d2,gpt-emb-text-similarity-ada-001,motesf1429,pencil,2.7,0.21984619440684894,motesf
4,motesf_pencil-9b9a,gpt-emb-text-similarity-ada-001,motesf69ad,pencil,2.4,0.26031078248680295,motesf
5,motesf_pencil-905c,gpt-emb-text-similarity-ada-001,motesf0777,pencil,2.7,0.20896159608803655,motesf
6,motesf_pencil-c9d9,gpt-emb-text-similarity-ada-001,motesff90f,pencil,3.6,0.25369398824098455,motesf
7,motesf_pencil-eac0,gpt-emb-text-similarity-ada-001,motesf8d5e,pencil,1.3,0.09193518272896917,motesf
8,motesf_pencil-a2af,gpt-emb-text-similarity-ada-001,motesfb2eb,pencil,3.9,0.20952823109772223,motesf
9,motesf_pencil-0845,gpt-emb-text-similarity-ada-001,motesf1700,pencil,3.9,0.23630676280630258,motesf
10,motesf_pencil-75b2,gpt-emb-text-similarity-ada-001,motesf6855,pencil,3.0,0.20806127476356717,motesf
11,motesf_pencil-465f,gpt-emb-text-similarity-ada-001,motesf3dd4,pencil,3.6,0.1859269580298466,motesf
12,motesf_pencil-c3d8,gpt-emb-text-similarity-ada-001,motesf9188,pencil,3.0,0.17533191753382504,motesf
13,motesf_pencil-fbf5,gpt-emb-text-similarity-ada-001,motesf2b24,pencil,3.0,0.20186064024769468,motesf
14,motesp-g1_pencil-20HL,gpt-emb-text-similarity-ada-001,20HL,pencil,3.9,0.24465655256248642,motesp
15,motesf_pencil-ab18,gpt-emb-text-similarity-ada-001,motesf2838,pencil,3.9,0.22149825112217403,motesf
16,motesf_pencil-2bd1,gpt-emb-text-similarity-ada-001,motesf57ae,pencil,3.3,0.24150694285566388,motesf
17,motesf_pencil-a28c,gpt-emb-text-similarity-ada-001,motesff4b9,pencil,3.6,0.20717378585568036,motesf
18,motesf_pencil-fd3d,gpt-emb-text-similarity-ada-001,motesfa4a0,pencil,2.1,0.08717945501877111,motesf
19,motesf_pencil-4ee4,gpt-emb-text-similarity-ada-001,motesfb83a,pencil,3.3,0.23630731848558229,motesf
20,motesf_pencil-9b19,gpt-emb-text-similarity-ada-001,motesf6cdd,pencil,2.7,0.18106731188691672,motesf
21,motesf_pencil-b6a3,gpt-emb-text-similarity-ada-001,motesf6392,pencil,2.7,0.2052663883276784,motesf
22,motesf_pencil-d6ad,gpt-emb-text-similarity-ada-001,motesfad13,pencil,3.3,0.16675145635031352,motesf
23,motesf_pencil-da2b,gpt-emb-text-similarity-ada-001,motesf85d8,pencil,2.1,0.18646826327369936,motesf
24,motesf_pencil-8eec,gpt-emb-text-similarity-ada-001,motesfeb16,pencil,1.3,0.10334625376233242,motesf
25,motesf_pencil-5be7,gpt-emb-text-similarity-ada-001,motesf8216,pencil,3.0,0.17963306627124465,motesf
26,motesf_pencil-e57f,gpt-emb-text-similarity-ada-001,motesf82aa,pencil,3.6,0.1848173414840043,motesf
27,motesf_pencil-1274,gpt-emb-text-similarity-ada-001,motesf43ec,pencil,4.1,0.2081134373247603,motesf
28,motesf_pencil-d85c,gpt-emb-text-similarity-ada-001,motesfc058,pencil,3.3,0.17310036876934498,motesf
29,motesf_pencil-08ce,gpt-emb-text-similarity-ada-001,motesf819f,pencil,3.0,0.15878668577797717,motesf
30,motesp-g1_pencil-14ML,gpt-emb-text-similarity-ada-001,14ML,pencil,2.8,0.18127350826984523,motesp
31,motesf_pencil-f53e,gpt-emb-text-similarity-ada-001,motesf1ff1,pencil,2.7,0.21877733002561506,motesf
32,motesf_pencil-619b,gpt-emb-text-similarity-ada-001,motesfa597,pencil,3.6,0.18938435401214004,motesf
33,motesf_pencil-54ca,gpt-emb-text-similarity-ada-001,motesfc5ff,pencil,4.1,0.2419216054150254,motesf
34,motesp-g1_pencil-31MB,gpt-emb-text-similarity-ada-001,31MB,pencil,4.3,0.15958817259828117,motesp
35,motesf_pencil-9255,gpt-emb-text-similarity-ada-001,motesffe13,pencil,3.0,0.2201774782708813,motesf
36,motesf_pencil-12a1,gpt-emb-text-similarity-ada-001,motesf158f,pencil,1.3,0.12791526875166526,motesf
37,motesf_pencil-cfb4,gpt-emb-text-similarity-ada-001,motesfa1d0,pencil,2.7,0.1675968831273449,motesf
38,motesf_pencil-4ba4,gpt-emb-text-similarity-ada-001,motesf2665,pencil,1.3,0.13677005642806495,motesf
39,motesf_pencil-5607,gpt-emb-text-similarity-ada-001,motesf7588,pencil,4.1,0.17570225064975342,motesf
40,motesf_pencil-cf8e,gpt-emb-text-similarity-ada-001,motesf077e,pencil,1.9,0.09933727536298875,motesf
41,motesf_pencil-8d1d,gpt-emb-text-similarity-ada-001,motesff718,pencil,2.1,0.17425006823077138,motesf
42,motesf_pencil-1ec8,gpt-emb-text-similarity-ada-001,motesfffd5,pencil,3.0,0.13339272758871634,motesf
43,motesf_pencil-2c6f,gpt-emb-text-similarity-ada-001,motesf5823,pencil,2.1,0.144782147789158,motesf
44,motesf_pencil-f556,gpt-emb-text-similarity-ada-001,motesf979d,pencil,2.1,0.12410288817363702,motesf
45,motesf_pencil-2929,gpt-emb-text-similarity-ada-001,motesf38af,pencil,3.6,0.19075475205958636,motesf
46,motesf_pencil-6895,gpt-emb-text-similarity-ada-001,motesfc8ff,pencil,3.6,0.16849433733913377,motesf
47,motesf_pencil-f7a8,gpt-emb-text-similarity-ada-001,motesf1385,pencil,3.9,0.254268613147262,motesf
48,motesp-g1_pencil-34HA,gpt-emb-text-similarity-ada-001,34HA,pencil,3.0,0.2323989921233358,motesp
49,motesf_pencil-7c1a,gpt-emb-text-similarity-ada-001,motesf0aa1,pencil,3.3,0.22369669031386674,motesf
50,motesf_pencil-ef82,gpt-emb-text-similarity-ada-001,motesf274a,pencil,3.3,0.20390447914141596,motesf
51,motesf_pencil-4e9b,gpt-emb-text-similarity-ada-001,motesf577b,pencil,2.7,0.17069896516090277,motesf
52,motesf_pencil-97c6,gpt-emb-text-similarity-ada-001,motesf7ef6,pencil,2.4,0.20375885042733788,motesf
53,motesf_pencil-fdd7,gpt-emb-text-similarity-ada-001,motesfeccb,pencil,3.3,0.21492699290842154,motesf
54,dod20_book-2f63,gpt-emb-text-similarity-ada-001,dod2036,book,4.5,0.17393471605993338,dod20
55,dod20_book-4b84,gpt-emb-text-similarity-ada-001,dod2053,book,3.0,0.21859101558670735,dod20
56,dod20_book-46c5,gpt-emb-text-similarity-ada-001,dod2027,book,1.2,0.08746444633546624,dod20
57,dod20_book-5891,gpt-emb-text-similarity-ada-001,dod2077,book,1.3,0.13811496987993144,dod20
58,dod20_book-e527,gpt-emb-text-similarity-ada-001,dod208,book,3.0,0.21066280167529494,dod20
59,dod20_book-711f,gpt-emb-text-similarity-ada-001,dod2048,book,2.7,0.1828772984760101,dod20
60,dod20_book-7bb5,gpt-emb-text-similarity-ada-001,dod2089,book,2.8,0.1293984713357086,dod20
61,dod20_book-61b2,gpt-emb-text-similarity-ada-001,dod2087,book,2.7,0.20950638521586962,dod20
62,dod20_book-2849,gpt-emb-text-similarity-ada-001,dod2055,book,2.5,0.16415899349603236,dod20
63,dod20_book-b381,gpt-emb-text-similarity-ada-001,dod2032,book,4.0,0.1944243231414008,dod20
64,dod20_book-6baf,gpt-emb-text-similarity-ada-001,dod2074,book,3.7,0.27798220057603606,dod20
65,dod20_book-db1c,gpt-emb-text-similarity-ada-001,dod2017,book,3.0,0.15991627690057952,dod20
66,dod20_book-5aed,gpt-emb-text-similarity-ada-001,dod2021,book,1.5,0.08816386894125294,dod20
67,dod20_book-5b51,gpt-emb-text-similarity-ada-001,dod2013,book,3.0,0.21046409653446485,dod20
