,id,model,participant,prompt,target,predicted,src,total_tokens,proportion
0,motesf_pencil-1175,gpt3-babbage,motesf202c,pencil,2.4,2.7,motesf,27,0.4
0,dod20_book-2f63,gpt3-babbage,dod2036,book,4.5,3.0,dod20,14,0.4
0,motesf_spoon-4ff1,gpt3-babbage,motesf7588,spoon,3.3,2.7,motesf,33,0.4
0,dod20_tire-5e0f,gpt3-babbage,dod201,tire,3.2,3.0,dod20,15,0.4
0,dod20_bottle-eae5,gpt3-babbage,dod2036,bottle,2.5,3.0,dod20,16,0.4
0,dod20_pants-798c,gpt3-babbage,dod208,pants,2.5,3.0,dod20,14,0.4
0,snbmo09_brick-4ff8,gpt3-babbage,snbmo09176,brick,1.5,1.7,snbmo09,19,0.4
0,hmsl_brick-7bf6,gpt3-babbage,hmsl1y5hCDj2,brick,3.5,1.8,hmsl,18,0.4
0,snb17_rope-a9d3,gpt3-babbage,snb17142,rope,1.3,1.3,snb17,20,0.4
0,setal08_brick-9f1b,gpt3-babbage,setal08186,brick,2.0,2.7,setal08,20,0.4
0,hmsl_paperclip-aff2,gpt3-babbage,hmsl7OHW073E,paperclip,2.3,2.2,hmsl,20,0.4
0,betal18_box-16f1,gpt3-babbage,betal182111,box,1.3,1.3,betal18,17,0.4
0,snbmo09_knife-b6f5,gpt3-babbage,snbmo09117,knife,1.5,1.7,snbmo09,17,0.4
0,motesf_spoon-4ca0,gpt3-babbage,motesf819f,spoon,2.7,2.7,motesf,15,0.4
0,setal08_knife-1ba7,gpt3-babbage,setal08146,knife,1.7000000000000002,2.0,setal08,19,0.4
0,dod20_shovel-9cbe,gpt3-babbage,dod2037,shovel,1.5,1.0,dod20,16,0.4
0,snbmo09_box-0102,gpt3-babbage,snbmo0922,box,2.3,3.3,snbmo09,20,0.4
0,snb17_box-e7eb,gpt3-babbage,snb17100,box,2.0,2.3,snb17,17,0.4
0,dod20_bottle-bf4f,gpt3-babbage,dod2073,bottle,4.2,4.0,dod20,16,0.4
0,betal18_rope-0f96,gpt3-babbage,betal182133,rope,1.3,1.0,betal18,19,0.4
0,dod20_book-4b84,gpt3-babbage,dod2053,book,3.0,3.5,dod20,15,0.4
0,setal08_knife-06e0,gpt3-babbage,setal08240,knife,2.0,1.7,setal08,15,0.4
0,dod20_shoe-51a8,gpt3-babbage,dod2013,shoe,1.5,1.5,dod20,14,0.4
0,motesf_ball-b100,gpt3-babbage,motesf1c9a,ball,2.1,1.9,motesf,15,0.4
0,dod20_rope-7fb4,gpt3-babbage,dod2049,rope,2.5,1.3,dod20,17,0.4
