,id,model,participant,prompt,target,predicted,src
0,motesf_pencil-2929,lsa-tasa,motesf38af,pencil,3.6,0.49,motesf
1,bs12_brick-e90c,lsa-tasa,bs1216,brick,1.0,0.81,bs12
2,setal08_brick-74d1,lsa-tasa,setal0879,brick,1.3,0.8,setal08
3,betal18_box-7ad0,lsa-tasa,betal182075,box,2.1,0.91,betal18
4,hmsl_brick-52b3,lsa-tasa,hmslsSyeENYV,brick,1.3,0.28,hmsl
5,dod20_shoe-2b43,lsa-tasa,dod2028,shoe,3.2,0.9299999999999999,dod20
6,motesf_spoon-7393,lsa-tasa,motesf7a61,spoon,4.1,0.71,motesf
7,betal18_box-5491,lsa-tasa,betal182078,box,1.6,0.76,betal18
8,snb17_rope-ac88,lsa-tasa,snb1718,rope,1.0,0.83,snb17
9,snbmo09_knife-ddf0,lsa-tasa,snbmo09165,knife,2.5,0.78,snbmo09
10,snbmo09_knife-32d7,lsa-tasa,snbmo09137,knife,3.0,0.9,snbmo09
11,hmsl_paperclip-4940,lsa-tasa,hmslT7PsWT76,paper clip,2.5,0.73,hmsl
12,hmsl_brick-b705,lsa-tasa,hmsllw50p93r,brick,2.8,0.8200000000000001,hmsl
13,betal18_rope-cbdc,lsa-tasa,betal182123,rope,1.0,0.99,betal18
14,motesf_lightbulb-95c0,lsa-tasa,motesff221,lightbulb,2.4,0.89,motesf
15,snbmo09_knife-e2d1,lsa-tasa,snbmo0916,knife,1.0,0.76,snbmo09
16,setal08_knife-face,lsa-tasa,setal08151,knife,3.0,0.91,setal08
17,dod20_fork-d7e1,lsa-tasa,dod2043,fork,1.5,0.8,dod20
18,dod20_rope-7523,lsa-tasa,dod2078,rope,1.8,0.08999999999999997,dod20
19,motesf_hat-5fd5,lsa-tasa,motesfe96e,hat,3.3,0.53,motesf
20,motesf_spoon-4ff1,lsa-tasa,motesf7588,spoon,3.3,0.6799999999999999,motesf
21,snb17_rope-3272,lsa-tasa,snb17105,rope,1.3,0.87,snb17
22,snb17_rope-f2df,lsa-tasa,snb1763,rope,1.3,0.79,snb17
23,setal08_brick-897c,lsa-tasa,setal08126,brick,1.7,0.99,setal08
24,dod20_table-5968,lsa-tasa,dod2070,table,3.0,0.85,dod20
25,hmsl_brick-7729,lsa-tasa,hmslb180td4X,brick,1.7,0.8200000000000001,hmsl
26,betal18_box-da2b,lsa-tasa,betal182125,box,4.1,0.78,betal18
27,setal08_knife-1b0f,lsa-tasa,setal08161,knife,1.3,0.85,setal08
28,bs12_brick-dddb,lsa-tasa,bs1270,brick,1.7,0.99,bs12
29,dod20_rope-cd0d,lsa-tasa,dod2045,rope,2.7,0.9,dod20
30,snbmo09_box-f6f5,lsa-tasa,snbmo0955,box,2.0,0.84,snbmo09
31,snb17_box-b4aa,lsa-tasa,snb17107,box,1.7,0.9,snb17
32,motesf_spoon-d989,lsa-tasa,motesf82aa,spoon,3.9,0.62,motesf
33,snb17_box-e476,lsa-tasa,snb1783,box,2.0,0.76,snb17
34,hmsl_brick-8610,lsa-tasa,hmslQb709hFR,brick,2.3,0.74,hmsl
35,dod20_bottle-1610,lsa-tasa,dod2081,bottle,3.2,0.89,dod20
36,motesf_pencil-b6a3,lsa-tasa,motesf6392,pencil,2.7,0.71,motesf
