,id,model,participant,prompt,target,predicted,src
0,snbmo09_knife-6f1a,ocs-main,snbmo09189,knife,2.5,0.718009889125824,snbmo09
1,snbmo09_knife-9633,ocs-main,snbmo09154,knife,2.2,0.897032524901507,snbmo09
2,setal08_knife-c3ad,ocs-main,setal08104,knife,2.3,0.9222791191381561,setal08
3,hmsl_brick-1473,ocs-main,hmsl4evEspH2,brick,1.3,0.7377374497779762,hmsl
4,bs12_brick-6922,ocs-main,bs12109,brick,1.4,0.9989209604618706,bs12
5,setal08_knife-2f81,ocs-main,setal08117,knife,2.7,0.7977872027715633,setal08
6,hmsl_brick-9a17,ocs-main,hmslB8x6J8Cu,brick,1.0,0.5927016583850944,hmsl
7,snbmo09_box-a04f,ocs-main,snbmo0961,box,1.5,0.7948305755853653,snbmo09
8,snbmo09_brick-9416,ocs-main,snbmo0959,brick,2.0,0.9044676497578621,snbmo09
9,snbmo09_box-7cd7,ocs-main,snbmo09104,box,2.0,0.6038993000984192,snbmo09
10,dod20_tire-75d1,ocs-main,dod2080,tire,3.2,0.7961372584104538,dod20
11,motesf_spoon-210b,ocs-main,motesf274a,spoon,3.6,0.9804334510117769,motesf
12,snb17_rope-4d7b,ocs-main,snb1760,rope,1.0,0.7761986723262619,snb17
13,motesf_spoon-6453,ocs-main,motesf67c6,spoon,2.4,0.8797654734218566,motesf
14,setal08_knife-2181,ocs-main,setal08215,knife,1.0,0.6892849077295631,setal08
15,setal08_brick-2840,ocs-main,setal08113,brick,1.3,0.8096038848161697,setal08
16,hmsl_paperclip-9b33,ocs-main,hmslmmD57gcr,paperclip,2.0,0.5745703279972076,hmsl
17,hmsl_paperclip-d2f2,ocs-main,hmsldENdB2Qt,paperclip,2.5,0.7830030873745777,hmsl
18,dod20_pants-c27f,ocs-main,dod2011,pants,1.0,0.377808153629303,dod20
19,snb17_box-d6bb,ocs-main,snb1794,box,1.7,0.8143767267465591,snb17
20,motesf_sock-0115,ocs-main,motesff7e6,sock,3.3,0.8735295142964686,motesf
21,setal08_brick-ee3e,ocs-main,setal089,brick,1.0,0.8170819868424725,setal08
22,bs12_brick-8d06,ocs-main,bs1217,brick,1.0,0.8504410969886882,bs12
23,bs12_brick-b28f,ocs-main,bs1266,brick,1.4,0.7770362768395493,bs12
24,setal08_brick-727e,ocs-main,setal08216,brick,2.0,0.8025945872068405,setal08
25,snbmo09_box-19e6,ocs-main,snbmo09176,box,2.8,0.8214763826087546,snbmo09
26,snbmo09_box-9cd2,ocs-main,snbmo0995,box,2.2,0.7491051256656647,snbmo09
27,dod20_book-6487,ocs-main,dod2031,book,3.2,0.7475894324802161,dod20
28,motesf_toothbrush-d250,ocs-main,motesf1534,toothbrush,2.4,0.8243128774438198,motesf
29,snbmo09_box-457f,ocs-main,snbmo0916,box,1.8,0.768849615539791,snbmo09
30,dod20_table-6125,ocs-main,dod2049,table,4.0,0.8089974927629217,dod20
31,motesf_spoon-b38e,ocs-main,motesf642e,spoon,3.3,0.9495822094486671,motesf
32,dod20_shovel-aba8,ocs-main,dod2029,shovel,1.3,0.835501492023468,dod20
33,dod20_rope-7dc6,ocs-main,dod2075,rope,3.5,0.7791951969197041,dod20
34,bs12_brick-8cf0,ocs-main,bs1239,brick,1.8,1.013223304766827,bs12
35,hmsl_paperclip-932e,ocs-main,hmslaGzhYc5T,paperclip,3.7,0.7735912574687024,hmsl
36,setal08_brick-53d3,ocs-main,setal08134,brick,3.0,0.9758450538015908,setal08
37,setal08_brick-3a27,ocs-main,setal08186,brick,1.7,0.7212895750999451,setal08
38,motesf_lightbulb-41f5,ocs-main,motesf8f14,lightbulb,2.7,0.914559527551927,motesf
39,dod20_fork-601a,ocs-main,dod2085,fork,2.2,0.8510177135467529,dod20
40,motesf_pencil-4ee4,ocs-main,motesfb83a,pencil,3.3,0.7786511452630488,motesf
41,dod20_table-3ccd,ocs-main,dod2037,table,2.0,0.7688124179840088,dod20
42,setal08_knife-1a04,ocs-main,setal08154,knife,2.0,0.8536727617892017,setal08
43,hmsl_paperclip-819a,ocs-main,hmslW8K1dDJu,paperclip,2.7,0.8781159195383357,hmsl
44,setal08_brick-8abd,ocs-main,setal0863,brick,2.0,0.7857737253697432,setal08
45,betal18_box-7212,ocs-main,betal182012,box,1.9,0.829779546670305,betal18
46,dod20_table-154b,ocs-main,dod2040,table,3.7,0.8423268345270518,dod20
47,hmsl_paperclip-3dda,ocs-main,hmsl57D9S225,paperclip,2.0,0.6889679133892059,hmsl
48,motesf_bottle-7359,ocs-main,motesfef0d,bottle,2.7,0.8605817724320547,motesf
49,hmsl_paperclip-d03a,ocs-main,hmslB2edM796,paperclip,3.5,0.8868618209106396,hmsl
50,motesf_hat-3ea8,ocs-main,motesfd82c,hat,2.7,0.9213924130363014,motesf
51,hmsl_brick-6382,ocs-main,hmsl7iC45VYt,brick,1.8,0.7479431369942056,hmsl
52,snb17_box-5f81,ocs-main,snb17146,box,2.0,0.9353274826824436,snb17
53,setal08_knife-499d,ocs-main,setal08228,knife,1.3,0.8829154021719587,setal08
54,snb17_box-4e8e,ocs-main,snb1760,box,2.3,0.8134993096810701,snb17
55,dod20_shoe-9884,ocs-main,dod2056,shoe,1.0,0.79609341775096,dod20
56,hmsl_brick-6417,ocs-main,hmsl3dysp210,brick,1.8,0.7947598190108913,hmsl
57,snb17_box-f117,ocs-main,snb17119,box,1.7,0.7514711710404598,snb17
58,motesf_pencil-9b9a,ocs-main,motesf69ad,pencil,2.4,0.8683113864083041,motesf
59,setal08_knife-5265,ocs-main,setal08205,knife,1.3,0.775355392985285,setal08
60,hmsl_paperclip-4e9a,ocs-main,hmsl5vOtwDx3,paperclip,2.3,0.9522866268234873,hmsl
61,snb17_box-45d5,ocs-main,snb1717,box,2.7,0.8845382854342461,snb17
62,hmsl_brick-9f5c,ocs-main,hmsl8231icq2,brick,1.8,0.7301227271525035,hmsl
63,motesf_spoon-ee76,ocs-main,motesf46ba,spoon,3.6,0.9162840991952229,motesf
64,betal18_box-6a91,ocs-main,betal182076,box,1.3,0.9651115760207176,betal18
65,motesf_lightbulb-50ff,ocs-main,motesf8f53,lightbulb,3.3,0.9599012638110161,motesf
66,setal08_knife-a741,ocs-main,setal0840,knife,2.3,0.8829435714761077,setal08
67,snbmo09_brick-ef8d,ocs-main,snbmo09168,brick,2.0,0.944847110658884,snbmo09
68,motesf_sock-4fc9,ocs-main,motesf9766,sock,1.9,0.8375619947910309,motesf
69,betal18_box-b5d2,ocs-main,betal182117,box,2.7,0.7128030961910456,betal18
70,snbmo09_box-512b,ocs-main,snbmo09144,box,2.0,0.9022358368158094,snbmo09
71,snb17_box-2900,ocs-main,snb17131,box,1.0,0.7947458127301553,snb17
72,betal18_box-028a,ocs-main,betal182023,box,1.6,0.8291465193033218,betal18
73,dod20_pants-66e9,ocs-main,dod2048,pants,3.2,0.6756971776485443,dod20
