,id,model,participant,prompt,target,predicted,src
0,dod20_pants-aab3,st5-3b,dod2040,pants,3.5,0.22230714559555054,dod20
1,betal18_rope-b6f2,st5-3b,betal182188,rope,1.9,0.24057215452194214,betal18
2,motesf_toothbrush-eee3,st5-3b,motesf2665,toothbrush,1.3,0.22947508096694946,motesf
3,hmsl_paperclip-21c8,st5-3b,hmslgEOtW7kc,paperclip,2.2,0.22829711437225342,hmsl
4,betal18_box-61ce,st5-3b,betal182067,box,1.9,0.3598649501800537,betal18
5,betal18_rope-9ef8,st5-3b,betal182007,rope,1.0,0.2937585711479187,betal18
6,bs12_brick-eeee,st5-3b,bs1265,brick,1.0,0.18644291162490845,bs12
7,hmsl_paperclip-fa88,st5-3b,hmslw4r5kjlA,paperclip,1.0,0.19324219226837158,hmsl
8,motesf_hat-9104,st5-3b,motesf1ff8,hat,1.3,0.19581997394561768,motesf
9,bs12_brick-fa33,st5-3b,bs1253,brick,3.4,0.2873058319091797,bs12
10,setal08_brick-3c9c,st5-3b,setal0882,brick,1.0,0.27348852157592773,setal08
11,hmsl_paperclip-fcb5,st5-3b,hmslS3kVSz67,paperclip,1.0,0.21670132875442505,hmsl
12,snbmo09_brick-7d85,st5-3b,snbmo09116,brick,3.1,0.2169705033302307,snbmo09
13,betal18_box-5737,st5-3b,betal182125,box,2.4,0.30673831701278687,betal18
14,hmsl_brick-76e3,st5-3b,hmsl5yhjjPmZ,brick,2.0,0.2197706699371338,hmsl
15,setal08_brick-7d76,st5-3b,setal08111,brick,2.0,0.3199074864387512,setal08
16,hmsl_brick-9819,st5-3b,hmsly8a88PFJ,brick,1.5,0.3090097904205322,hmsl
17,snbmo09_knife-92a3,st5-3b,snbmo09107,knife,1.2,0.3463181257247925,snbmo09
18,snb17_rope-1d39,st5-3b,snb1798,rope,2.4,0.210798978805542,snb17
19,hmsl_brick-66c3,st5-3b,hmslw07hiE91,brick,1.3,0.29740017652511597,hmsl
20,setal08_brick-4ad7,st5-3b,setal08202,brick,1.6,0.2960417866706848,setal08
21,snbmo09_box-ffee,st5-3b,snbmo09157,box,1.7,0.2190203070640564,snbmo09
22,bs12_brick-cc88,st5-3b,bs12133,brick,2.2,0.21875989437103271,bs12
23,setal08_knife-18a5,st5-3b,setal08178,knife,2.0,0.2946704030036926,setal08
24,snbmo09_brick-9029,st5-3b,snbmo09161,brick,2.2,0.3007051348686218,snbmo09
25,snbmo09_knife-fe71,st5-3b,snbmo0927,knife,2.0,0.23961305618286133,snbmo09
26,dod20_bottle-ddf3,st5-3b,dod201,bottle,3.0,0.27121537923812866,dod20
27,bs12_brick-9532,st5-3b,bs12108,brick,1.4,0.28831249475479126,bs12
28,snbmo09_box-f332,st5-3b,snbmo09177,box,1.5,0.2677604556083679,snbmo09
29,setal08_brick-8145,st5-3b,setal08223,brick,2.3,0.2444351315498352,setal08
30,hmsl_paperclip-7354,st5-3b,hmslKxZ68Dlf,paperclip,2.3,0.24856436252593994,hmsl
31,snbmo09_brick-826f,st5-3b,snbmo0933,brick,1.7,0.28868454694747925,snbmo09
32,betal18_box-1601,st5-3b,betal182151,box,1.3,0.2370234727859497,betal18
33,hmsl_paperclip-df47,st5-3b,hmsl6xuQ1Z9X,paperclip,1.0,0.20054030418395996,hmsl
34,motesp-g1_lightbulb-24ES,st5-3b,24ES,lightbulb,1.7,0.21929949522018433,motesp
35,snbmo09_knife-1e90,st5-3b,snbmo09153,knife,2.0,0.2249773144721985,snbmo09
36,motesf_bottle-00f7,st5-3b,motesfdb8e,bottle,3.0,0.3404356837272644,motesf
37,hmsl_paperclip-a35d,st5-3b,hmsl1hb56yYu,paperclip,3.0,0.2894025444984436,hmsl
38,bs12_brick-878c,st5-3b,bs126,brick,1.4,0.31382042169570923,bs12
39,betal18_box-3bbd,st5-3b,betal182039,box,1.9,0.36959999799728394,betal18
40,hmsl_brick-dac8,st5-3b,hmsl7Alo1fos,brick,1.3,0.2664782404899597,hmsl
41,betal18_box-b5d2,st5-3b,betal182117,box,2.7,0.3242869973182678,betal18
42,setal08_knife-e0ec,st5-3b,setal0849,knife,1.7,0.3290976285934448,setal08
43,snb17_rope-a9d3,st5-3b,snb17142,rope,1.3,0.29312586784362793,snb17
44,dod20_tire-e6be,st5-3b,dod2084,tire,1.0,0.26068681478500366,dod20
45,motesf_bottle-77b4,st5-3b,motesf432a,bottle,2.7,0.3061632513999939,motesf
46,bs12_brick-3020,st5-3b,bs1258,brick,1.4,0.24316567182540894,bs12
47,snbmo09_brick-3246,st5-3b,snbmo093,brick,1.5,0.23899686336517334,snbmo09
48,motesf_sock-1133,st5-3b,motesf0e01,sock,3.6,0.30781280994415283,motesf
49,snbmo09_box-d38f,st5-3b,snbmo0945,box,1.2,0.24847030639648438,snbmo09
50,betal18_rope-a0ff,st5-3b,betal182128,rope,1.0,0.26357436180114746,betal18
51,hmsl_paperclip-278b,st5-3b,hmslMXicONTd,paperclip,2.7,0.2609492540359497,hmsl
52,snbmo09_brick-8f5e,st5-3b,snbmo0971,brick,1.5,0.19675230979919434,snbmo09
53,snbmo09_brick-385f,st5-3b,snbmo0918,brick,1.7,0.282309889793396,snbmo09
54,snbmo09_box-f37f,st5-3b,snbmo0974,box,1.0,0.24797451496124268,snbmo09
55,bs12_brick-77bd,st5-3b,bs1213,brick,1.0,0.3127041459083557,bs12
56,hmsl_paperclip-17f2,st5-3b,hmslJE5LUVea,paperclip,1.0,0.2227184772491455,hmsl
57,hmsl_paperclip-a503,st5-3b,hmslJwPQBC80,paperclip,2.7,0.29136550426483154,hmsl
58,betal18_rope-f0e4,st5-3b,betal182154,rope,1.0,0.1775810718536377,betal18
59,snb17_rope-ebad,st5-3b,snb1722,rope,1.3,0.2302427887916565,snb17
60,betal18_rope-7ef9,st5-3b,betal182190,rope,1.4,0.19303065538406372,betal18
61,betal18_rope-86e6,st5-3b,betal182128,rope,2.7,0.32070422172546387,betal18
62,dod20_pants-ce03,st5-3b,dod2037,pants,2.0,0.24576473236083984,dod20
63,snbmo09_brick-10fd,st5-3b,snbmo09127,brick,2.0,0.2500874996185303,snbmo09
64,setal08_brick-a128,st5-3b,setal08189,brick,3.0,0.341159462928772,setal08
65,motesf_ball-bc79,st5-3b,motesf20f0,ball,1.6,0.32005375623703003,motesf
66,motesp-g1_bottle-30MR,st5-3b,30MR,bottle,3.9,0.362534761428833,motesp
67,snbmo09_box-8edf,st5-3b,snbmo0936,box,1.7,0.3044232130050659,snbmo09
68,hmsl_paperclip-c956,st5-3b,hmslIJcWIf8K,paperclip,3.2,0.2615205645561218,hmsl
69,dod20_book-96e1,st5-3b,dod2038,book,1.3,0.2925834059715271,dod20
70,hmsl_brick-4878,st5-3b,hmslLPQ9qCo5,brick,3.0,0.30357009172439575,hmsl
71,setal08_knife-692a,st5-3b,setal08194,knife,1.0,0.23541319370269775,setal08
