,id,model,participant,prompt,target,predicted,src
0,dod20_pants-aab3,st5-base,dod2040,pants,3.5,0.174166738986969,dod20
1,betal18_rope-b6f2,st5-base,betal182188,rope,1.9,0.1580876111984253,betal18
2,motesf_toothbrush-eee3,st5-base,motesf2665,toothbrush,1.3,0.17597323656082153,motesf
3,hmsl_paperclip-21c8,st5-base,hmslgEOtW7kc,paperclip,2.2,0.1669338345527649,hmsl
4,betal18_box-61ce,st5-base,betal182067,box,1.9,0.2546654939651489,betal18
5,betal18_rope-9ef8,st5-base,betal182007,rope,1.0,0.208997905254364,betal18
6,bs12_brick-eeee,st5-base,bs1265,brick,1.0,0.14833998680114746,bs12
7,hmsl_paperclip-fa88,st5-base,hmslw4r5kjlA,paperclip,1.0,0.14041131734848022,hmsl
8,motesf_hat-9104,st5-base,motesf1ff8,hat,1.3,0.15421062707901,motesf
9,bs12_brick-fa33,st5-base,bs1253,brick,3.4,0.21742576360702515,bs12
10,setal08_brick-3c9c,st5-base,setal0882,brick,1.0,0.18168282508850098,setal08
11,hmsl_paperclip-fcb5,st5-base,hmslS3kVSz67,paperclip,1.0,0.1536814570426941,hmsl
12,snbmo09_brick-7d85,st5-base,snbmo09116,brick,3.1,0.1456524133682251,snbmo09
13,betal18_box-5737,st5-base,betal182125,box,2.4,0.2030574083328247,betal18
14,hmsl_brick-76e3,st5-base,hmsl5yhjjPmZ,brick,2.0,0.19046741724014282,hmsl
15,setal08_brick-7d76,st5-base,setal08111,brick,2.0,0.2131279706954956,setal08
16,hmsl_brick-9819,st5-base,hmsly8a88PFJ,brick,1.5,0.2314746379852295,hmsl
17,snbmo09_knife-92a3,st5-base,snbmo09107,knife,1.2,0.21396082639694214,snbmo09
18,snb17_rope-1d39,st5-base,snb1798,rope,2.4,0.15672898292541504,snb17
19,hmsl_brick-66c3,st5-base,hmslw07hiE91,brick,1.3,0.24123060703277588,hmsl
20,setal08_brick-4ad7,st5-base,setal08202,brick,1.6,0.2033674716949463,setal08
21,snbmo09_box-ffee,st5-base,snbmo09157,box,1.7,0.11697196960449219,snbmo09
22,bs12_brick-cc88,st5-base,bs12133,brick,2.2,0.13654857873916626,bs12
23,setal08_knife-18a5,st5-base,setal08178,knife,2.0,0.20238131284713745,setal08
24,snbmo09_brick-9029,st5-base,snbmo09161,brick,2.2,0.25081557035446167,snbmo09
25,snbmo09_knife-fe71,st5-base,snbmo0927,knife,2.0,0.154405415058136,snbmo09
26,dod20_bottle-ddf3,st5-base,dod201,bottle,3.0,0.1879134178161621,dod20
27,bs12_brick-9532,st5-base,bs12108,brick,1.4,0.22401893138885498,bs12
28,snbmo09_box-f332,st5-base,snbmo09177,box,1.5,0.18703776597976685,snbmo09
29,setal08_brick-8145,st5-base,setal08223,brick,2.3,0.20681041479110718,setal08
30,hmsl_paperclip-7354,st5-base,hmslKxZ68Dlf,paperclip,2.3,0.18045920133590698,hmsl
31,snbmo09_brick-826f,st5-base,snbmo0933,brick,1.7,0.24911320209503174,snbmo09
32,betal18_box-1601,st5-base,betal182151,box,1.3,0.18973368406295776,betal18
33,hmsl_paperclip-df47,st5-base,hmsl6xuQ1Z9X,paperclip,1.0,0.1391867995262146,hmsl
34,motesp-g1_lightbulb-24ES,st5-base,24ES,lightbulb,1.7,0.14998513460159302,motesp
35,snbmo09_knife-1e90,st5-base,snbmo09153,knife,2.0,0.16582489013671875,snbmo09
36,motesf_bottle-00f7,st5-base,motesfdb8e,bottle,3.0,0.2486879825592041,motesf
37,hmsl_paperclip-a35d,st5-base,hmsl1hb56yYu,paperclip,3.0,0.203993022441864,hmsl
38,bs12_brick-878c,st5-base,bs126,brick,1.4,0.2682952880859375,bs12
39,betal18_box-3bbd,st5-base,betal182039,box,1.9,0.22776836156845093,betal18
40,hmsl_brick-dac8,st5-base,hmsl7Alo1fos,brick,1.3,0.2543836236000061,hmsl
41,betal18_box-b5d2,st5-base,betal182117,box,2.7,0.2414262890815735,betal18
42,setal08_knife-e0ec,st5-base,setal0849,knife,1.7,0.23612213134765625,setal08
