,id,model,participant,prompt,target,predicted,src
0,dod20_pants-aab3,st5-large,dod2040,pants,3.5,0.18855661153793335,dod20
1,betal18_rope-b6f2,st5-large,betal182188,rope,1.9,0.19725579023361206,betal18
2,motesf_toothbrush-eee3,st5-large,motesf2665,toothbrush,1.3,0.19839578866958618,motesf
3,hmsl_paperclip-21c8,st5-large,hmslgEOtW7kc,paperclip,2.2,0.20577013492584229,hmsl
4,betal18_box-61ce,st5-large,betal182067,box,1.9,0.29162847995758057,betal18
5,betal18_rope-9ef8,st5-large,betal182007,rope,1.0,0.2685620188713074,betal18
6,bs12_brick-eeee,st5-large,bs1265,brick,1.0,0.17956620454788208,bs12
7,hmsl_paperclip-fa88,st5-large,hmslw4r5kjlA,paperclip,1.0,0.17178064584732056,hmsl
8,motesf_hat-9104,st5-large,motesf1ff8,hat,1.3,0.1756836175918579,motesf
9,bs12_brick-fa33,st5-large,bs1253,brick,3.4,0.2602442502975464,bs12
10,setal08_brick-3c9c,st5-large,setal0882,brick,1.0,0.2041546106338501,setal08
11,hmsl_paperclip-fcb5,st5-large,hmslS3kVSz67,paperclip,1.0,0.1887514591217041,hmsl
12,snbmo09_brick-7d85,st5-large,snbmo09116,brick,3.1,0.1809908151626587,snbmo09
13,betal18_box-5737,st5-large,betal182125,box,2.4,0.2543274760246277,betal18
14,hmsl_brick-76e3,st5-large,hmsl5yhjjPmZ,brick,2.0,0.20264124870300293,hmsl
15,setal08_brick-7d76,st5-large,setal08111,brick,2.0,0.2269366979598999,setal08
16,hmsl_brick-9819,st5-large,hmsly8a88PFJ,brick,1.5,0.26703447103500366,hmsl
17,snbmo09_knife-92a3,st5-large,snbmo09107,knife,1.2,0.24284809827804565,snbmo09
18,snb17_rope-1d39,st5-large,snb1798,rope,2.4,0.1874852180480957,snb17
19,hmsl_brick-66c3,st5-large,hmslw07hiE91,brick,1.3,0.23328065872192383,hmsl
20,setal08_brick-4ad7,st5-large,setal08202,brick,1.6,0.2266131043434143,setal08
21,snbmo09_box-ffee,st5-large,snbmo09157,box,1.7,0.17721295356750488,snbmo09
22,bs12_brick-cc88,st5-large,bs12133,brick,2.2,0.19927871227264404,bs12
23,setal08_knife-18a5,st5-large,setal08178,knife,2.0,0.26453953981399536,setal08
24,snbmo09_brick-9029,st5-large,snbmo09161,brick,2.2,0.24625474214553833,snbmo09
25,snbmo09_knife-fe71,st5-large,snbmo0927,knife,2.0,0.19710636138916016,snbmo09
26,dod20_bottle-ddf3,st5-large,dod201,bottle,3.0,0.21339565515518188,dod20
27,bs12_brick-9532,st5-large,bs12108,brick,1.4,0.2355118989944458,bs12
28,snbmo09_box-f332,st5-large,snbmo09177,box,1.5,0.22901570796966553,snbmo09
29,setal08_brick-8145,st5-large,setal08223,brick,2.3,0.20181900262832642,setal08
30,hmsl_paperclip-7354,st5-large,hmslKxZ68Dlf,paperclip,2.3,0.21330374479293823,hmsl
31,snbmo09_brick-826f,st5-large,snbmo0933,brick,1.7,0.23618561029434204,snbmo09
32,betal18_box-1601,st5-large,betal182151,box,1.3,0.20153319835662842,betal18
33,hmsl_paperclip-df47,st5-large,hmsl6xuQ1Z9X,paperclip,1.0,0.1740301251411438,hmsl
34,motesp-g1_lightbulb-24ES,st5-large,24ES,lightbulb,1.7,0.1750662922859192,motesp
35,snbmo09_knife-1e90,st5-large,snbmo09153,knife,2.0,0.171034038066864,snbmo09
36,motesf_bottle-00f7,st5-large,motesfdb8e,bottle,3.0,0.3088485598564148,motesf
37,hmsl_paperclip-a35d,st5-large,hmsl1hb56yYu,paperclip,3.0,0.2755206227302551,hmsl
38,bs12_brick-878c,st5-large,bs126,brick,1.4,0.2690223455429077,bs12
