,id,model,participant,prompt,target,predicted,src,split
0,betal18_box-c10d,t5-base,betal182087,box,1.3,1.7,betal18,gt_main2
1,hmsl_brick-1945,t5-base,hmsl8UP73BqP,brick,1.8,1.7,hmsl,gt_main2
2,motesf_sock-d12f,t5-base,motesf31fe,sock,3.0,2.1,motesf,gt_main2
3,hmsl_paperclip-198c,t5-base,hmslB2edM796,paperclip,2.5,2.5,hmsl,gt_main2
4,snbmo09_knife-fe99,t5-base,snbmo09131,knife,3.5,3.0,snbmo09,gt_main2
5,motesf_sock-e308,t5-base,motesf5422,sock,2.7,3.6,motesf,gt_main2
6,motesp-g1_sock-9RH,t5-base,9RH,sock,3.4,3.3,motesp,gt_main2
7,dod20_tire-bc45,t5-base,dod2051,tire,2.5,2.5,dod20,gt_main2
8,motesf_sock-14c1,t5-base,motesff717,sock,2.7,2.7,motesf,gt_main2
9,dod20_rope-538b,t5-base,dod2071,rope,2.5,2.1,dod20,gt_main2
10,snbmo09_box-afb8,t5-base,snbmo09164,box,2.2,2.4,snbmo09,gt_main2
11,snbmo09_box-db5f,t5-base,snbmo093,box,2.3,2.0,snbmo09,gt_main2
12,snbmo09_knife-e965,t5-base,snbmo09173,knife,1.6,1.8,snbmo09,gt_main2
13,dod20_fork-a66a,t5-base,dod2013,fork,2.0,1.8,dod20,gt_main2
14,snb17_rope-46c7,t5-base,snb17115,rope,1.7000000000000002,1.9,snb17,gt_main2
15,dod20_table-7230,t5-base,dod2045,table,1.5,1.5,dod20,gt_main2
16,dod20_brick-02d0,t5-base,dod2082,brick,1.0,1.0,dod20,gt_main2
17,hmsl_paperclip-a503,t5-base,hmslJwPQBC80,paperclip,2.7,2.7,hmsl,gt_main2
18,betal18_rope-dee3,t5-base,betal182047,rope,1.4,1.3,betal18,gt_main2
19,motesf_spoon-c6e5,t5-base,motesfa255,spoon,3.3,3.6,motesf,gt_main2
20,betal18_rope-78ab,t5-base,betal182104,rope,1.2,1.3,betal18,gt_main2
21,snb17_box-5f81,t5-base,snb17146,box,2.0,2.3,snb17,gt_main2
22,setal08_knife-73e4,t5-base,setal08125,knife,2.0,2.3,setal08,gt_main2
23,hmsl_paperclip-b481,t5-base,hmslNa5C17A6,paperclip,2.5,2.5,hmsl,gt_main2
24,hmsl_paperclip-3072,t5-base,hmslEqZE362k,paperclip,2.6,2.8,hmsl,gt_main2
25,snbmo09_knife-d3f6,t5-base,snbmo09133,knife,1.8,2.7,snbmo09,gt_main2
26,betal18_box-8fea,t5-base,betal182123,box,1.9,2.4,betal18,gt_main2
27,hmsl_paperclip-651c,t5-base,hmsl57ZLnnlc,paperclip,3.5,3.0,hmsl,gt_main2
28,bs12_brick-ec3e,t5-base,bs12109,brick,2.6,1.8,bs12,gt_main2
29,hmsl_paperclip-461b,t5-base,hmslLr6WcnQu,paperclip,2.3,1.7,hmsl,gt_main2
30,dod20_tire-c9bb,t5-base,dod2052,tire,2.2,3.5,dod20,gt_main2
31,snbmo09_box-42e7,t5-base,snbmo09102,box,1.3,1.0,snbmo09,gt_main2
32,hmsl_paperclip-0a20,t5-base,hmslhj8bSQrN,paperclip,3.8,3.5,hmsl,gt_main2
33,dod20_book-acc5,t5-base,dod2038,book,2.7,2.5,dod20,gt_main2
34,hmsl_brick-d3f2,t5-base,hmslw07hiE91,brick,2.7,1.8,hmsl,gt_main2
35,dod20_fork-87e1,t5-base,dod208,fork,2.7,1.0,dod20,gt_main2
36,betal18_box-cac7,t5-base,betal182102,box,3.6,2.7,betal18,gt_main2
